,pretty_comp,gap expt
0,SrLaMn2O6,0.0
1,PbO2,1.4
2,YbCe2CuS5,1.37
3,Zn0.15Ga0.85As0.85Se0.15,1.47
4,Si0.98Ge0.02,1.08
5,CdCu2SnS4,1.37
6,Ba2FeReO6,0.0
7,Sn0.35Te0.35Pb0.65Se0.65,0.09
8,SrSiPd,0.0
9,Lu2Mo2C3,0.0
10,Cd4Sb2I3,1.83
11,Cs3Bi,0.55
12,Ba6In2NF,0.0
13,Fe(PdSe)2,0.0
14,Sn0.1Pb0.9Se1,0.08
15,KBr,7.6
16,ZnAs2,0.9
17,Bi2SI2O11,3.74
18,Rb2Hg(PSe3)2,2.32
19,Ni2Ge,0.0
20,CdSnO3,3.0
21,Sm(SiNi)2,0.0
22,Ce2S2O,0.0
23,Ba4Ga5Si18,0.31
24,Cd5Ga2(Te3S)2,1.29
25,Cd4As2Br3,1.78
26,Sn0.001Te1Pb0.999,0.18
27,CoSbS,0.11
28,UP2S7,1.41
29,BeSiRu2,0.0
30,ZrTaN3,1.72
31,Ba7(SnS3)5,2.29
32,LiBePt2,0.0
33,ZnSnAs2,0.6
34,Ta3P,0.0
35,Zr2Al,0.0
36,MgSiN2,4.05
37,Li2Mo2Se2O11,3.3
38,Mn2GaW,0.0
39,Pd(IO3)2,1.31
40,BiSeBr,1.5
41,Tm2Ga10Os3,0.0
42,Cu8O,0.0
43,B3Pb10Br3O13,3.25
44,Li2SiHgS4,2.68
45,Pm2PtAu,0.0
46,In3CuS5,1.2
47,La16Mn15O48,0.0
48,Ba2ZnTe3,2.1
49,RbPSe6,2.18
50,Te0.6Se0.4,0.7
51,In1Sb0.99As0.01,0.35
52,Li2In2SiSe6,2.54
53,Mg3Sb2,0.8
54,Pr4Sb3,0.0
55,AsRuS,1.2
56,Ce1.3Lu0.7S3,1.25
57,Eu3Sb4S9,1.2
58,BRh2,0.0
59,Tb(InS2)3,1.2
60,U2AlCo3,0.0
61,Cd0.04In0.96Te0.04As0.96,0.69
62,La2Ge5Ir3,0.0
63,Li2ZnSnS4,2.87
64,BaGa4Se7,2.64
65,NdSnRh,0.0
66,Sm2CuAs3O,0.0
67,Sb2Ru,0.3
68,Ba3InS4Cl,3.42
69,LiGeRh2,0.0
70,SrZr2Nb,0.0
71,Al2(CuSe2)3,0.0
72,Hf5Sb3,0.0
73,CsMnSb,0.0
74,ZnIrO3,0.0
75,Cs4BiAs3Se7,1.02
76,Sr5Sn3,0.0
77,CsBi3Se5,0.43
78,Zr5Al3C,0.0
79,Rb3Li4(BO2)7,6.53
80,YbPr2CuS5,1.25
81,Ho3AlC,0.0
82,Tb(GeRh)2,0.0
83,CaZn3,0.0
84,Cr2S3,0.9
85,LaBeB3O7,5.65
86,Ge0.05Te0.95Pb0.95S0.05,0.4
87,Li3Dy,0.0
88,ThU8O18,0.0
89,Cr4As3,0.0
90,Ca2SmTaO6,3.45
91,BaReH9,3.44
92,Zn0.01Ga0.99P0.99S0.01,2.25
93,Cu(NO3)2,0.0
94,NdBi,0.0
95,Al0.3Ga0.7As1,1.81
96,Ag3RuO4,0.0
97,Rb2Ti(AgS2)2,2.33
98,Ca(BIr)2,0.0
99,Cd1Hg6.5As4Cl6,1.86
100,Ga4Cu2Te7,1.08
101,Bi2I4O13,3.3
102,DyAgGe,0.0
103,HoMgAu2,0.0
104,PmSnRh2,0.0
105,Dy2ZnIn,0.0
106,Tl3Cr,0.0
107,Ba3La3(Cu3O7)2,1.8
108,CeOs2,0.0
109,Mg3P2,1.4
110,Tm3GaC,0.0
111,CsZn4In5Se12,1.61
112,KUClO3,2.37
113,KCu2SbS3,1.53
114,Sb2PbSe4,1.8
115,SiP2,1.89
116,CrCoGe,0.0
117,Sm2IO2,0.0
118,PrZn,0.0
119,Li2Fe3SnO8,0.0
120,Y3(Fe31B7)2,0.0
121,Dy2TlCd,0.0
122,Zn(CuO2)2,0.0
123,B4C,1.64
124,Mg2Zr14O5,0.0
125,CaGe2,0.0
126,Li3V4FeO12,0.0
127,AlAgS2,3.13
128,Co3Se4,0.0
129,Bi2Te0.9Se2.1,0.28
130,Ho5Si4,0.0
131,Y2Mo2O7,0.0
132,Ga2HgSe4,1.95
133,PrTaN2O,2.0
134,In4Te3,0.42
135,TmTl,0.0
136,Y(Al5Fe)2,0.0
137,CaInAu,0.0
138,SbTeI,1.25
139,Ca2Bi2O5,3.34
140,Er2SnAu2,0.0
141,Sc2S3,2.0
142,Ca2SnS4,2.32
143,Li3AlTe4O11,3.63
144,K2Mn(SnSe3)2,2.0
145,Ga1As0.9P0.1,1.5
146,BaV2SeO8,2.13
147,PrF3,5.3
148,YbB2Rh3,0.0
149,KSc(SeO3)2,5.4
150,LiLu2Ru,0.0
151,TaGaPt,0.0
152,EuCu2SnS4,1.85
153,Ca2CdAs2,0.95
154,HgCl,2.84
155,Ce3NbS3O4,0.0
156,Li23(MnAs)20,0.0
157,CeIr5,0.0
158,Pr(BiO3)2,0.0
159,Nd3Zr,0.0
160,Li2CdGe,0.99
161,Zn0.7Ga0.3P0.3S0.7,2.4
162,Y3Ge4,0.0
163,BaPd(IO3)4,1.97
164,CeGaO3,0.0
165,Ba5Bi3,0.0
166,ZrGeRu,0.0
167,Ba3CrS5,0.0
168,Si0.8Ge0.2,1.1
169,Li2U(MoO5)2,0.0
170,Tm2ZnOs,0.0
171,Zr1.33Ta0.67N2.61O0.42,1.93
172,BaUSe3,1.0
173,Gd6Ge2.5S14,2.2
174,Sn0.03Te1Pb0.97,0.21
175,GaAgO2,2.2
176,Al2Cu,0.0
177,MgCr,0.0
178,Te4Mo(WS)2,0.0
179,CdP2,2.02
180,Ca3Sb2,1.4
181,Nd2(SnSe3)3,0.5
182,Re5(NiAs6)2,0.0
183,Ag2S,0.87
184,Ca2Os2O7,0.0
185,La2MoO5,0.49
186,Sc11(AlGe4)2,0.0
187,ErSnAu,0.0
188,AsSeI,1.76
189,Zr5Sn3,0.0
190,CdSiP2,1.8
191,MnPSe3,2.5
192,As2Ru,0.8
193,TlInHgS3,1.74
194,Rb3Sm,0.0
195,InBi2S4Br,1.5
196,CaPrZn2,0.0
197,TiGaIr2,0.0
198,LaGa,0.0
199,Pr10Se14O,1.89
200,La2Sn5Rh3,0.0
201,MnSe,2.5
202,Ba5In4Bi5,0.0
203,SrMnGe,0.0
204,CoAsS,0.6
205,Li5(BiO3)4,0.0
206,CsSb(SO4)2,4.68
207,Ga2O3,4.4
208,LiCa2In,0.0
209,Na2Zn(SnS3)2,2.93
210,TaGaSe2,1.65
211,NiCO4,0.0
212,MgSbPt,0.0
213,LaZnAu2,0.0
214,Bi2Te2.1Se0.9,0.29
215,Ba3Nb2Se9,1.3
216,Li3(CoO2)4,0.0
217,TaAl3,0.0
218,NdLuSe3,1.61
219,KCu3S2,1.46
220,Ho2Ge5Rh3,0.0
221,LuAu,0.0
222,GaSiAgSe4,2.63
223,YbSnRh,0.0
224,Ga2Si(AgS3)2,2.35
225,K6Ta1.03Nb2.97S25,2.01
226,Mg2RhAu,0.0
227,PrTe2,1.02
228,NaInS2,1.9
229,CsIr,0.0
230,In3CuTe5,1.01
231,TmMg2Sc,0.0
232,PrErMg2,0.0
233,Sm4InSbS9,2.13
234,Zn3Sb2,0.11
235,Cs2SiB4O9,6.53
236,Ba4Ga4SnSe12,2.16
237,SmNiAs,0.0
238,Sr2Pr2Pt1O7.07,3.05
239,Cs2Al2B2O7,4.13
240,Li4Mn5Nb3O16,0.0
241,Sr2YReO6,0.0
242,Zn0.25Ga0.75P0.75Se0.25,2.18
243,Nd5Ge3,0.0
244,SmBiW2O9,3.39
245,Sm(ErSe2)3,2.0
246,Li4.5Ga0.5Te1O6,4.99
247,Zr6O,0.18
248,KH3(SeO3)2,4.88
249,Ce4(GeS4)3,2.3
250,Al0.6In0.4P1,2.3
251,Ga1.8Cu0.2Se2.8,1.86
252,DyAgHg2,0.0
253,ZrCd,0.0
254,Na3Sb,1.0
255,V2O5,2.3
256,CaZn3Ni2,0.0
257,Hf7P4,0.0
258,Ho(MnSn)6,0.0
259,Ti2ZnS4,0.0
260,Sc3PbC,0.0
261,Ce2S3,1.12
262,Zr2Ni12P7,0.0
263,Pr4InSbSe9,1.89
264,K2Ho4Cu4S9,2.43
265,DyMn2,0.0
266,U2Re2C3,0.0
267,Li2Co4O7F,0.0
268,Ta11(CuO15)2,2.59
269,Sm2TlHg,0.0
270,Pb1Se0.95S0.05,0.26
271,YAs,0.0
272,Th(SiRu)2,0.0
273,La4Co3O10,0.0
274,EuTiO3,0.0
275,EuCd11,0.0
276,MnSbRh2,0.0
277,KPPbO4,4.44
278,AlB12,1.9
279,IrS2,0.9
280,ThAsSe,0.0
281,Li4.5Cr0.5Te1O6,1.79
282,TlCr5(Se3S)2,0.75
283,Ga1.8Cu0.2S2.8,2.65
284,MnGaPt,0.0
285,PdO,0.8
286,Li3Ti2(PO4)3,0.0
287,NiI,0.0
288,Sr10Al4Si6O,0.0
289,Ce2Se3,1.75
290,Cd13I28,0.0
291,Li6Fe3Co7O20,0.0
292,Cs2ZnGe3Te8,1.07
293,Nd(Al4Co)2,0.0
294,Na8NbO6,0.0
295,YbIn4Ni,0.0
296,Mg5B3O9F,5.63
297,Cr3Ni(PO4)6,0.0
298,SrTl2,0.0
299,Ce4Te7,0.5
300,Mn3NiN,0.0
301,Ba2ErGaSe5,1.95
302,NaAsSe2,1.46
303,CsGeB3O7,5.76
304,LiHoO3,0.0
305,CsPPbO4,4.39
306,GaBi25O39,2.99
307,YbZnPt,0.0
308,Sn3WO6,2.49
309,TiTlSe2,0.56
310,Zr5Al3,0.0
311,AlCuTe2,2.06
312,Fe10O9F11,0.0
313,BaAl2,0.0
314,Cs2Cd0.25Hg5.75S7,1.66
315,CsYTe3O8,3.4
316,HoSiRu2C,0.0
317,Bi12Rh12O41,0.0
318,Re3P4,0.0
319,EuAgSb,0.0
320,CsTiF4,0.0
321,Ti2Sb(PO4)3,0.0
322,Al2CrS4,0.0
323,In4Cu2Te7,1.1
324,SrCd,0.0
325,Zn0.95Ga0.05P0.05Se0.95,2.4
326,HgOsPb2,0.0
327,K2Ta15O32,0.33
328,Sm3Al0.33Si1S7,2.26
329,EuB(SbO4)2,3.46
330,Ho4C7,0.0
331,Hf5Sb9,0.0
332,Pr2InPd2,0.0
333,Li7(Mo3S4)4,0.0
334,AsAu3,0.0
335,ErFeC2,0.0
336,U2Cr30P19,0.0
337,ScCdAg2,0.0
338,TmScHg2,0.0
339,Tl2Hg3S4,2.05
340,Hf2S,0.0
341,La10Mn9O30,0.0
342,Li4Mn5NbO12,0.0
343,MgSbF6,0.0
344,K(GeSe2)2,1.8
345,CsNi2F6,0.0
346,Dy3Al0.5Si1S7,2.22
347,La3(BN2)2,0.0
348,B6P,3.3
349,BaYbSn3,0.0
350,Mg3Al9FeSi5,0.0
351,Dy2Sn5,0.0
352,LiZn(Fe5O8)2,0.0
353,Sb2Se3,1.0
354,SnSe2,1.62
355,KPSe3,2.08
356,CsEuF3,0.0
357,K2S,2.1
358,SrTlHg2,0.0
359,YbIn4Rh,0.0
360,V2Si2O7,0.0
361,YCuO2,3.5
362,Bi2Te0.1Se2.9,0.78
363,TlGaTe2,1.8
364,ScCdHg2,0.0
365,Y4US5O3,1.95
366,Ga1.01Sb0.99Te0.03,0.68
367,KFe2BiO5,1.76
368,La(InS2)3,1.03
369,Sn0.01Te1Pb0.99,0.23
370,Al0.01Ga0.99P1,2.27
371,YSi2,0.0
372,Tl2TeS3,1.6
373,SrSnP,0.0
374,Na2Be4B4O11,7.3
375,Ga0.95Hg0.05Sb0.95Te0.05,0.69
376,CsTbZnTe3,2.12
377,Zn0.99Ga0.01As0.01Se0.99,2.59
378,Ta7Cu3O19,2.47
379,Cu23(Sb4S13)2,0.0
380,K2TeI6,1.38
381,Ga1.002Sb0.998Se0.006,0.7
382,TbYbHg2,0.0
383,Ba2Ga8GeS16,3.0
384,Nb3CuO8,1.47
385,YMgGa,0.0
386,K3Ti2P5S18,1.61
387,AlFe4(CuO4)3,0.0
388,LaGaS3,2.5
389,Sc2CuRu,0.0
390,InP,1.25
391,La(PRu)2,0.0
392,Zr3Hg,0.0
393,HfSe2,2.2
394,In0.99Ga0.01As0.01P0.99,1.3
395,NdNiC2,0.0
396,Y(SiRh)2,0.0
397,TbCu5,0.0
398,PSe,2.5
399,CsSbS2,2.8
400,InCuTe2,0.8
401,In3Bi7(Pb2S9)2,0.0
402,Te0.4Se0.6,1.2
403,Li4Fe7(OF7)2,0.0
404,MnV(TeO4)2,1.9
405,VPt2,0.0
406,Ba2Sb7HO14,2.7
407,TlGaSe2,1.65
408,Cr2P3O11,0.0
409,GaAgS2,2.56
410,In0.2Ga0.8As1,1.07
411,Ge0.25Te1Pb0.75,0.44
412,Li6FeO5F,0.0
413,Cd8B5O15F,3.14
414,SmAg,0.0
415,TiCoSb,0.95
416,La8Sb2S15,2.3
417,LuScZn2,0.0
418,Ba2CuWO6,0.0
419,CuCN2,0.0
420,CuHg(SeO3)2,3.25
421,Ba4Ga5CuS12,2.82
422,Yb(MnAs)2,0.0
423,TbIn2Ni,0.0
424,Ce2Cu(NO)2,0.0
425,Zn2In2S5,2.5
426,Mg(FeO2)4,0.0
427,Zn0.01Ga0.99Sb0.99Te0.01,0.72
428,TeI,1.1
429,HoCo3,0.0
430,Dy3(CuGe)4,0.0
431,GaCuGeSe4,1.38
432,Li4NbNi3O8,0.0
433,Hf2Hg,0.0
434,Ba3(AlGe)2,0.0
435,LiZrRh2,0.0
436,Zn0.65Hg0.35Se1,1.0
437,Sm(CoSi)2,0.0
438,BaMn4O7,0.0
439,U3Bi4,0.0
440,V12P7,0.0
441,Cu1.8S1,2.3
442,InPt,0.0
443,MgCuSn,0.0
444,TbTe,0.0
445,Li3(CuO2)2,0.0
446,Gd2Mn4S7,1.44
447,KPSe6,2.16
448,Sb2Os,0.2
449,In0.7Ga0.3As0.3P0.7,1.58
450,Zn3(BO3)2,2.6
451,DyInPt2,0.0
452,YVTeO10,2.2
453,YbAs,1.02
454,CdCu(SeO3)2,3.33
455,Sr2YBi2O7,0.0
456,CeMgAg2,0.0
457,Na11Bi5O16,0.0
458,Cu9Se4(Cl3O7)2,0.0
459,Ca2Ti9O13,0.0
460,BaGe4(RhSe3)2,1.09
461,CsAg5Te3,0.65
462,Cu2SnSe3,0.7
463,Li2V3FeO8,0.0
464,FeAgSe2,0.23
465,Hf3Zn3N,0.0
466,K1.25Bi7.25Pb3.5Se15,0.53
467,Bi9S6O7.5,1.27
468,K2Ga3CuSe6,1.72
469,Tl2InGaSe4,2.05
470,Li2V3CrO8,0.0
471,K3Hg,0.0
472,ZrAu4,0.0
473,HgPS3,2.6
474,Ce(AlZn)2,0.0
475,UHg3(TeCl3)2,2.6
476,LaH2,0.0
477,Er(CrSi)2,0.0
478,In2FeSe4,1.15
479,K2ZnSn3S8,2.15
480,Bi2Te1.5Se1.5,0.29
481,Ba3Sb2S7,2.4
482,Cd3Bi2,0.2
483,K2In3AgSe6,1.64
484,Nb2Pb2Se4O15,2.79
485,In2O3,2.8
486,Ca3TlN,0.0
487,Sr4Ga8Ge15,0.05
488,In0.2Ga0.8As0.2P0.8,2.15
489,K6Cd4Sn3Se13,2.33
490,KHg,0.0
491,HfO2,5.55
492,NbCu3Se4,2.45
493,Mg5Ti13O30,0.0
494,MnGeRh2,0.0
495,NbOsPb,0.0
496,In1.8Cu0.2Se2.8,1.26
497,SbI3,2.12
498,MgCo2(PO5)2,0.0
499,Mn5O7,0.0
500,Cs2Sn3(SbS5)2,2.34
501,LuHfRu2,0.0
502,Dy(CuTe)3,0.34
503,Ga1Sb0.8As0.2,1.02
504,Bi2Te0.3Se2.7,0.24
505,HoSb2,0.0
506,CeHSe,0.0
507,Lu2CdAg,0.0
508,Li2Ga,0.0
509,MgRhF6,0.0
510,Ba4Ga4GeSe12,2.18
511,Zn0.8Hg0.2Se1,1.4
512,Bi2Te2.4Se0.6,0.25
513,Ga0.07Te1Pb0.93,0.34
514,Ba2B6O11,5.17
515,LiGaSe2,3.13
516,Eu(GaTe2)2,1.7
517,Sm4MgRh,0.0
518,HoNiGe,0.0
519,Er(CuGe)2,0.0
520,Sb2I2F11,0.0
521,CsCd4Ga5Se12,2.21
522,Cu3(BiI4)4,0.0
523,Ge0.02Te0.98Pb0.98S0.02,0.34
524,BePd3,0.0
525,Li6FeNi9O20,0.0
526,CdAsPd5,0.0
527,NaSbF6,3.76
528,Hf3(CuSi)4,0.0
529,Cs2Hg3I8,2.56
530,Hg7.5As4Cl6,1.73
531,TiS2,1.95
532,Nd2S3,2.65
533,Sc2Fe,0.77
534,Ca5Sb3,0.0
535,Li4Cu(PO4)2,0.0
536,DyNiSn,0.0
537,LiGaPt2,0.0
538,TiAuCl,0.0
539,SmTmZn2,0.0
540,Cs2SCl6F,0.0
541,RbAgF3,0.0
542,NaY(Te2O5)2,3.9
543,LiMgN,3.2
544,BiSbTe3,0.19
545,Al10V,0.0
546,Ta4N5,0.0
547,LiLu2Pd,0.0
548,BaTi4O8,0.0
549,Ba2In2Se5,2.12
550,CsAg2AsS3,2.7
551,NdScGe,0.0
552,EuCuSeO,0.0
553,Cs10Cd4Sn4S17,3.16
554,NaNO2,2.99
555,CaEuO2,0.0
556,La(SiOs)2,0.0
557,Ba(PdO2)2,0.0
558,CeCdAu2,0.0
559,CeAlO3,0.0
560,Tb2In16Pt7,0.0
561,AlSb,1.32
562,LuSi2Ni,0.0
563,LiYbPb,0.0
564,NdInCu,0.0
565,Cr7C3,0.0
566,BiPbBrO2,2.3
567,Te0.8Se0.2,0.4
568,Zr6NiCl15,0.0
569,Sr4V2(Se2O7)3,2.66
570,Nb3Os,0.0
571,TlCr5Se8,0.67
572,TlHg6Se4Br5,2.8
573,Tm2ZnGa,0.0
574,ScAlNi2,0.0
575,PrCd,0.0
576,KIn(TeO3)2,4.0
577,Lu7(TePd)2,0.0
578,ZrSe3,1.25
579,InSnAsSe,0.26
580,Sr2HoRuO6,0.0
581,La2In,0.0
582,KEuS2,0.0
583,MgMnRh2,0.0
584,Ca2MnAlO5,0.0
585,CoAsRh,0.0
586,OsS2,2.0
587,CdGeP2,1.65
588,ZrS2,2.75
589,Ag7(SI)2,0.0
590,K2Se,1.8
591,Li2FeGeS4,1.42
592,Ba3NaIrO6,0.0
593,ZrTi2O,0.0
594,Y4AsSe3,0.0
595,SiHg3,0.0
596,BiSBr,1.88
597,CsSmZnSe3,2.43
598,RbZrPSe6,2.0
599,Mg2Ge,1.67
600,K2Hg3(GeS4)2,2.64
601,Na2In2SiS6,3.27
602,VGa(TeO4)2,3.0
603,BiSCl,1.89
604,La2YbCuSe5,1.15
605,Eu(InTe2)2,1.22
606,TePb,0.19
607,Mg2Sn,0.14
608,LuScRh2,0.0
609,V3Cu,0.0
610,RbIn4,0.0
611,HfTiF6,0.0
612,Th(Al5Fe)2,0.0
613,Zn3As2,0.51
614,Tb3Ge5,0.0
615,VCu3S4,1.0
616,Sm3AlN,0.0
617,Na3Re,0.0
618,NbSiIr,0.0
619,Cs3Sb,1.6
620,Cs3As,0.6
621,K3NaSn3Se8,2.2
622,La3AlN,0.0
623,YbNdAg2,0.0
624,Na3Mn2(GeO4)3,0.0
625,Bi1.98Sb0.02Te3,0.14
626,Li4Fe3NiO8,0.0
627,Eu(DySe2)2,1.8
628,Ba2GaSbTe5,1.66
629,CaAgF5,0.0
630,Rb2FeI4,0.0
631,Li5Cr2Ni5O12,0.0
632,LuAlAg2,0.0
633,Zr3(Al2C3)2,0.0
634,YH2,0.0
635,Bi3I4O13F3,3.7
636,CdSb,0.42
637,La2PdO4,0.0
638,ZnGeAs2,1.05
639,SiW3,0.0
640,AlAgO2,3.6
641,In1.65Cu0.35Se2.65,1.19
642,La2.1Bi5.9Pb2S14,1.0
643,Cu2PHO5,0.0
644,Li2B4O7,7.3
645,Th(MnGe)2,0.0
646,ThSO,2.22
647,BaGe2,1.0
648,Li2MnO2F,0.0
649,Ni23B6,0.0
650,TlSnAuSe3,1.2
651,Cu4Pd,0.0
652,BaPdSe6,2.15
653,Zr2HBr2,0.0
654,Na2LiTa,0.0
655,Yb(InS2)3,1.31
656,Cd0.1Hg0.9Se1,1.3
657,Sn2BiS2I3,0.9
658,BiIO3F2,3.97
659,CaYbInSe4,0.0
660,Ge0.05Pb0.95Se1,0.28
661,Ga1.1Cu0.9Se2.1,1.59
662,ScAg,0.0
663,Te0.01Pb1Se0.99,0.26
664,CsMg149,0.0
665,Ba2CaOsO6,0.0
666,Sb2Pt,0.05
667,TiC,0.0
668,Ga1Sb0.3As0.7,0.67
669,Au3S,0.0
670,LaCdAg2,0.0
671,Sn2WO5,2.6
672,Tl3AsSe3,1.3
673,Al0.1In0.9P1,1.5
674,Ga2SiPbSe6,2.17
675,CaF2,9.92
676,YbGeRh,0.0
677,Rb7Th2(P2Se7)3,2.07
678,Bi8Te7S5,0.4
679,Zn2InCuTe4,1.05
680,Ba2SmInTe5,1.36
681,Sn0.15Te1Pb0.85,0.1
682,V2Zn3TeO10,2.96
683,Sc7CI12,0.0
684,Ba2CoWO6,0.0
685,Eu4Te7,0.31
686,V3Pt,0.0
687,Re(TeCl6)2,0.0
688,ZrInRh2,0.0
689,USi3,0.0
690,Tb2O3,3.0
691,NaCd2Au,0.0
692,Cu3SbS4,0.75
693,TbPt,0.0
694,Ga1.002Sb0.998Te0.006,0.7
695,Ga5Pd13,0.0
696,Tc3Pd,0.0
697,GaAs2W,0.0
698,ZnCu2SnSe4,1.44
699,Eu2TeO2,0.0
700,Zr7Sb4,0.0
701,Sr(CeS2)2,0.0
702,TlN3,3.58
703,Zr3(Cu2Si3)2,0.0
704,Mg3(Ni10B3)2,0.0
705,CoGe,0.0
706,Tb(CoGe)2,0.0
707,LuIr2,0.0
708,CaCdPd2,0.0
709,ZnWO2,0.0
710,GePt2,0.0
711,LiAsS2,1.6
712,Li12Fe5O16,0.0
713,Sc3GaC,0.0
714,Zr2Te,0.0
715,La4Fe(SbSe5)2,0.85
716,MnAl3,0.58
717,YV(BiO4)2,2.09
718,Ba2ScTaO6,4.19
719,Rb2AgPS4,2.6
720,BaTe,3.4
721,CsInHgS3,2.3
722,Na0.5Ge1Pb1.75Se4,1.6
723,ThS,0.0
724,Zr1.86Cu1S4,1.26
725,ZnAgF5,0.0
726,Al0.5Ga0.5As1,2.12
727,Sm2(PPt2)3,0.0
728,CsVP2S7,0.0
729,Mn3PtN,0.0
730,LuCdAg2,0.0
731,K2Ge3(BO5)2,5.38
732,Nd5Ge4,0.0
733,B2O3,4.89
734,Eu2C(NO)2,0.0
735,Sm2Cu4Sn5,0.0
736,EuTiClO3,0.0
737,Ga1As0.5P0.5,2.0
738,In0.4Ga0.6As0.6P0.4,1.74
739,Yb(GaSe2)2,1.8
740,In1.85Cu0.15Se2.85,1.32
741,Ca3Cu2(ClO2)2,0.0
742,KCoO2,0.0
743,Si0.109Ge0.891,1.13
744,In1Sb0.5As0.5,0.1
745,ZrCrSi2,0.0
746,VZn2BiO6,2.4
747,LiV2NiO6,0.0
748,W2N,0.0
749,PdPb2,0.0
750,Cd(InSe2)2,1.3
751,Ge0.1Te1Pb0.9,0.35
752,MgF2,11.1
753,TlCdS2,1.5
754,ErHg2,0.0
755,BaZn5,0.0
756,Tb5Tl3,0.0
757,Ti10O11,0.0
758,RbBi2,0.0
759,Cu4Sn7S16,0.8
760,Tl0.001Te1Pb0.999,0.3
761,TbBe13,0.0
762,BaBSbS4,2.34
763,La2VNiO6,0.45
764,SrRhF6,0.0
765,CsWCl6,0.0
766,Ba2SnSe5,1.8
767,KNb3(SeO6)2,3.46
768,Ba3Co10O17,0.0
769,Ba2ErInSe5,2.29
770,Mn2Hg5,0.0
