,pretty_comp,delta_e
0,LaSe,-1.8646565442400005
1,GeS2,-0.419752935
2,Pb(NO3)2,-0.526097254713
3,TiCl3,-1.8655686
4,Zn(FeO2)2,-1.7423818480000002
5,EuCl3,-2.4236845395
6,Mg2Ni,-0.136596932892
7,Tl2S,-0.328121732979
8,ThBr4,-2.0015830609200003
9,CaCl2,-2.7478789051
10,LiCrO2,-2.40451064
11,PbI2,-0.6059401360369999
12,CrF4,-2.58449655282
13,YCl3,-2.59100531438
14,SmC2,-0.332458143547
15,MgV2O6,-2.54306941404
16,MgSO4,-2.226245196
17,CaAl4O7,-3.45395343574
18,Cr(CO)6,-0.858608016862
19,PuF6,-2.6637950632
20,Si2Te3,-0.147172634
21,ReAsO4,-1.3327950280299998
22,MnSi,-0.31438976618000003
23,CaSe,-1.90802064992
24,Li2B8O13,-2.67019194214
25,HfO2,-3.85412653733
26,CrO2,-2.00920356317
27,ZrF2,-3.3165664
28,Nd2O3,-3.7483418882
29,Fe2B,-0.354140196387
30,GaCl3,-1.35946574949
31,HfB2,-1.13613818691
32,Ba(NO3)2,-1.1424511789299998
33,Mg2Cu,-0.0988702991407
34,Ta2N,-0.93811153478
35,Tb7O12,-3.67773393511
36,LiAl(SiO3)2,-3.1659735569
37,FeI2,-0.397297016667
38,NaS2,-0.7111720241030001
39,Na4P2O7,-2.52449699654
40,MgH2Cl2O,-1.66973571835
41,InAs,-0.302838787265
42,B5Mo2,-0.38051677
43,Tc2O7,-1.28358029193
44,NpF3,-3.9027695112
45,Eu2O3,-3.4365846466
46,SrCO3,-2.541319004
47,ZrO2,-3.8012687603300006
48,Na2SiF6,-3.35445356478
49,CuTe,-0.13009231704000002
50,ZnH4SO6,-1.37844791
51,Ca3Al2(HO)12,-1.97022628368
52,Ca2B2O5,-3.1489070589700003
53,RbI,-1.7287602359999998
54,LiTl,-0.277530276352
55,KO2,-0.979768990667
56,LaMg,-0.051018119075
57,NbN,-1.21831475637
58,TeO2,-1.12210496533
59,Al2Si2O7,-3.14805279186
60,Fe2(SO4)3,-1.5747532804299995
61,CeS,-2.36550989199
62,CrBr2,-1.02951748667
63,AgCl,-0.6584835301799999
64,HgF2,-1.45992489123
65,BeO,-3.157993069
66,Al2CoO4,-2.8855756351
67,GaTe,-0.6504615852000001
68,Fe3(AsO4)2,-1.5586028401499998
69,NaBO2,-2.52921094557
70,ThI2O,-2.593140354
71,RhCl3,-0.775252578135
72,PuS,-2.2766155482
73,AlP,-0.852103640185
74,AlB12,-0.212150228888
75,Na2Sn,-0.225493349536
76,LiFeO2,-1.9438188385
77,Mo2N,-0.23994805142900005
78,GdCl3,-2.6382249285
79,K4FeO3,-1.45488440125
80,UCl3,-2.31455914067
81,GeS,-0.317146662
82,Li2CrO4,-2.056123107
83,U(OF)2,-3.4276713744
84,Ni4B3,-0.46151798188
85,TiB2,-0.965573395523
86,SrCu5,-0.003425391235
87,TaF5,-3.28823739533
88,CoF2,-2.32505123667
89,PuF4,-3.6859489828
90,KBO2,-2.55956530134
91,TaCl4,-1.46657322496
92,AgNO3,-0.249776834146
93,BiCl,-0.66130261162
94,HfSi,-0.75672644551
95,Ni5P2,-0.57922055444
96,FeHO2,-1.4509978
97,BaPb3,-0.45532310964
98,Li3N,-0.511696965237
99,Cu2Sb,-0.0397504302067
100,K2Si4O9,-2.9820077644
101,KH,-0.2996310457
102,La2NiO4,-3.017038997
103,Tb6O11,-3.48647336508
104,Rb2SO4,-2.126007899
105,Nb2O5,-2.8124779194
106,ThCl4,-2.45998021304
107,TiCoO3,-2.5125063334
108,TlTe,-0.22766155482
109,FeCO3,-1.53508934107
110,CaI2,-1.853131476
111,GdBr3,-2.1476062973700003
112,MnCO3,-1.85511727013
113,CaCO3,-2.5011056364
114,Cu2O,-0.589381487333
115,Ti3O5,-3.18591182131
116,Bi2O3,-1.1821486362
117,PmI3,-1.6401457275
118,PuClO,-3.2190628026
119,Li5FeO4,-2.04176119
120,PtCl4,-0.475270183682
121,HgO,-0.4709524288
122,VBr2,-1.25900315301
123,NpCl4,-2.0467857881
124,H4NClO4,-0.306540904509
125,MoO3,-1.9293088605
126,KB3O5,-2.67219094446
127,MoCl3O,-1.276878064
128,TiC,-0.95401032496
129,InSb,-0.158060299635
130,Pr7O12,-3.64258269517
131,PH3O4,-1.66393172715
132,BaAl2O4,-3.4462086116000004
133,CeNi2,-0.37311372
134,AuI,0.006504615852
135,EuO,-3.05745965
136,CoCl2,-1.074774799
137,CeSi2,-0.6504615852000001
138,TiClO,-2.64521044648
139,BiCl3,-0.982195957225
140,HoF3,-4.399295776230001
141,SrSiO3,-3.3868361506
142,Li2Te,-1.22864966093
143,Pb2O3,-1.0192223118
144,WCl3O,-1.4219778440000002
145,Ge2Ru3,-0.36456319725
146,CaB4O7,-2.88660465905
147,ZnCO3,-1.68469550567
148,K2B4O7,-2.652216693
149,Cs2MoO4,-2.242531906
150,KSb,-0.472668751912
151,PuO2,-3.64753208867
152,MgH2,-0.261525079667
153,Mn(HO)2,-1.442706384
154,Na2S3,-0.896770534604
155,In6Se7,-0.60112766
156,TiBr3,-1.4224960575
157,U5Ge3,-0.304633101509
158,K2O2,-1.1478429025
159,VN,-1.12530061525
160,Mg2Al4Si5O18,-3.27360114002
161,LaBr3,-2.35033400964
162,UB12,-0.34524499522200003
163,KF,-2.94659305381
164,NbClO2,-2.5476412087
165,SnO,-1.45467711585
166,Li3AsO4,-2.20550370066
167,Ga2Se3,-0.841263650192
168,GdClO,-3.38221368618
169,ThOF2,-4.3146456010000005
170,Na2Mo2O7,-2.22457749074
171,Li2SO4,-2.1268814589
172,InTe,-0.372931308848
173,TiMnO3,-2.8160758017000003
174,Fe3O4,-1.6596009428999998
175,PdF2,-1.61892661205
176,CrN,-0.606309795
177,Be(HO)2,-1.87766577594
178,ThH2,-0.48264332536
179,La(HO)3,-2.097580187
180,SiO2,-3.14624689633
181,VB,-0.71767387615
182,P4S3,-0.33192166919
183,CaCu,-0.04293917061000002
184,PuI3,-1.50256522538
185,Y2Cu2O5,-2.5563241637900003
186,UC,-0.5029780231000001
187,MnSO4,-1.84008976958
188,Zn(HO)2,-1.338027257
189,La2O3,-3.7219129997
190,SiB14,-0.115637615147
191,Co9S8,-0.530406758824
192,WCl6,-0.8790529631
193,ZnTe,-0.61149193
194,CaZn,-0.3794359247
195,SbO2,-1.5676131112799998
196,Si(Pb2O3)2,-1.6969984594799998
197,BOF,-2.82589882649
198,Na5Al3F14,-3.5591845386400003
199,MnWO4,-2.25493695012
200,Ca2SiO4,-3.4279378842000003
201,NbO2,-2.74639335973
202,Fe3C,0.0648728161042
203,TiN,-1.74974270061
204,Be3N2,-1.21939782258
205,Ca2V2O7,-2.9101268409200003
206,HgSe,-0.307818819
207,YS,-2.3837821
208,Sr2TiO4,-3.3873543641
209,KAlCl4,-2.06701546123
210,GeAs,-0.06504615852000001
211,CuF2,-1.86176836767
212,TaCl3O,-1.84991233374
213,NiI2,-0.333038542667
214,Sr4Al2O7,-3.2836638290099995
215,SrTiO3,-3.4630549921800005
216,KHO,-1.46682058553
217,AsAu3O4,-0.497766090824
218,Si3Ru2,-0.49461405721
219,FeSi,-0.40862170902
220,Co2P,-0.649449341497
221,LiCl,-2.11568952791
222,Ca2Si,-0.7220406885770001
223,UN,-1.506964858
224,Ce2C3,-0.36599346651
225,CoWO4,-1.96389097473
226,Ca3V2O8,-3.01564380681
227,CaMoO4,-2.6640319608
228,BeI2,-0.7314065339
229,CrAsO4,-1.85244052467
230,TmI3,-1.60361167575
231,VCl3,-1.5043737905
232,Sr3Mn2O7,-2.51099487736
233,TiH2,-0.49868721532
234,SiRu,-0.549176756625
235,YN,-1.55026677806
236,Na2TiO3,-2.68026931713
237,KAlH6S2O11,-1.6686968236700002
238,LiAlH4,-0.20236237175
239,UB2,-0.5680690934570001
240,La2CoO4,-3.018667668
241,CsF,-2.8869674085000003
242,NiCO3,-1.43968830858
243,CdAu,-0.20121193778
244,KI,-1.7064770555000002
245,SeO2,-0.7790476283329999
246,ScF3,-4.1759716684
247,AgClO3,-0.06279089336799999
248,HfSi2,-0.72264872575
249,MnAl2O4,-3.1098288257
250,NdF3,-4.35159422355
251,KNO3,-1.023989876
252,MnF3,-2.77529239925
253,V2FeO4,-2.2297838539
254,Na2B4O7,-2.6227582486500003
255,CaMg(SiO3)2,-3.31908491761
256,ThCl2O,-3.1927133735
257,CaCl2O,-1.933972782
258,NaCrO2,-2.12120331955
259,WS2,-0.896191517387
260,SrSe,-1.99908630827
261,HoI3,-1.6188989740000002
262,LaTe,-1.5611078044799995
263,RuF5,-1.5423882054799998
264,MgS,-1.80338298
265,AlB2,-0.52165443764
266,Sb2O5,-1.43900633961
267,Cu2SO4,-1.112530354
268,H4BrN,-0.4690557673899999
269,KAl(SO4)2,-2.1334849795
270,SnI2,-0.497098027253
271,AlAs,-0.602760032525
272,Cs2RuO4,-1.428196406
273,FeCl2,-1.17910845033
274,MoI3,-0.32129237
275,BaUO4,-3.4497472695
276,Ni3P,-0.518527019167
277,Ni3Sn,-0.273194383998
278,Cu3(AsO4)2,-1.2138633023999998
279,KAl(SiO3)2,-3.1447268034
280,CaCN2,-0.908477495783
281,Ba3(AsO4)2,-2.72793964412
282,TlBr,-0.89763906043
283,Ti(FeO2)2,-2.2434794964
284,Ce2Ni7,-0.335456872333
285,Ba(HO)2,-1.9497264724
286,Al3Ni,-0.39027695112
287,Li3AlF6,-3.5068543972
288,Cu2SO5,-1.20172803776
289,VF2,-3.42806867142
290,Cs2Si4O9,-2.9765147013
291,Pb2Au,-0.02168205284
292,GaSe,-0.8239180079199999
293,NiP3,-0.408707214248
294,Li2BeF4,-3.3663000899
295,K2SO3,-1.94632353708
296,PbF2,-2.33541550667
297,CaAl2(SiO4)2,-3.37069977946
298,Na2O2,-1.32975916061
299,Mg2SiO4,-3.2231991334
300,AlAsO4,-2.3044954345
301,LiBeF3,-3.42402315136
302,Cs2O3,-1.07803125263
303,Na2SO4,-2.054938619
304,Cs(TeO3)2,-1.35311302778
305,InSe,-0.611434926515
306,CeMg,-0.08347383057999999
307,CaV2O6,-2.68953958086
308,NaFeO2,-1.81060428512
309,PuC2,-0.191963554183
310,Al4CO4,-2.65210153444
311,Co3O4,-1.35623876
312,WC,-0.20749734932100009
313,NaTe3,-0.4741653525
314,Ca3Si2O7,-3.4008279151
315,UB4,-0.509095015254
316,Zr5Si4,-0.915180011612
317,TiFe2,-0.302103269571
318,LaCoO3,-2.6080649028
319,UBr3,-1.86790833395
320,ThCl3,-2.4934360766
321,CaPb,-0.627043517135
322,Fe3W2,-0.1084102642
323,CaZn2,-0.32523079260000004
324,Ta2Si,-0.41195900396
325,NaAlSi2H2O7,-2.63321818884
326,Mn3Si,-0.231177115204
327,AsI3,-0.150691303665
328,Li3Sb,-0.4683328595570001
329,SiC,-0.3794359247
330,K3CrO4,-2.005486245
331,BiI,-0.282732103465
332,CaC2,-0.205256766885
333,Ni3B,-0.230501883013
334,Sm2O3,-3.7873115434
335,CdTe,-0.52187208731
336,K2B8O13,-2.68254344826
337,Na2UO4,-2.7975977889
338,EuI3,-1.375338629
339,MoC,-0.052036926816
340,MgBr2,-1.81720200667
341,CoSi,-0.492616344167
342,NbC,-0.7197985515
343,Zr3Si,-0.6317540778499999
344,B5W2,-0.290939865
345,U3Ge5,-0.310595147826
346,TlSe,-0.317642074106
347,TbI3,-1.580551175
348,BaO2,-2.19133142513
349,MnHO2,-1.653101065
350,Li2WO4,-2.3744986753
351,Cs2CrO4,-2.1172723
352,NdS,-2.34166170672
353,FeSO4,-1.60447191016
354,TbCl3,-2.6185328155
355,ReO2,-1.5225112630000002
356,NaAlO2,-2.93617178033
357,LiF,-3.19701972768
358,V2C,-0.508806197597
359,UAl4,-0.24874248
360,UBr3O,-1.97749857029
361,Rb3AsO4,-2.16224582875
362,TiBr,-1.06795510934
363,UGe,-0.318726176748
364,TaBr5,-1.03348872945
365,H4N2O3,-0.421019679111
366,Au2O3,-0.006937842338000001
367,Cr3B4,-0.44549778168
368,K2SO4,-2.1286878031
369,Cs2S,-1.18239392392
370,Th2N2O,-2.7921343380000003
371,LiAlSiO4,-3.145111762
372,MgZn2,-0.121419495904
373,Na4SiO4,-2.42597619476
374,WF5,-2.50124382667
375,KAlSi3O8,-3.16357382977
376,B2PbO4,-2.3113062405
377,SrCrO3,-2.68434593
378,Cs2SiO3,-2.64015959223
379,Ca5Si6(H3O10)2,-2.7831538381
380,SbBr3,-0.6721436380399999
381,Pb2SO5,-1.5177048327899998
382,Th2S3,-2.246973736
383,XeF4,-0.5536800319399999
384,MnSiO3,-2.7380328486
385,AuCl,-0.188633859708
386,U2Cl3O4,-2.76903353176
387,CoF3,-2.05212546
388,SiB4,-0.138765138176
389,V2O3,-2.5222487472
390,Cu3AsO4,-0.92029535465
391,Mn3(AsO4)2,-1.8865044254
392,CaBr2,-2.3623626086700003
393,CrI3,-0.5182135
394,HoH12(ClO2)3,-1.35591504481
395,LaH2,-0.6952697791670001
396,Cs2Si2O5,-2.8340865997900004
397,CaMgO2,-3.22302886325
398,RbNO2,-0.9509217725
399,HgI,-0.308557273237
400,BaHfO3,-3.79782091318
401,CoO,-1.23334813
402,HfCl4,-2.05285717746
403,Re2O7,-1.4546252944999998
404,Al9Co2,-0.312221749337
405,MoCl2,-1.0018794333299998
406,MnMoO4,-2.05784308228
407,CdF2,-2.41971847885
408,MoS2,-0.95401032496
409,CoS2,-0.50784923
410,CuP2,-0.418029011423
411,BaO,-2.83980998
412,Cu3P,-0.392445674618
413,NaSn,-0.23850258124
414,K2PHO4,-2.30056996724
415,SrF2,-4.2048879817
416,Mn7C3,-0.114914880052
417,ZrN,-1.89284217651
418,P2S5,-0.27567181468
419,InI,-0.5311688375
420,Sn(NO3)2,-0.525238171889
421,Sb2Te3,-0.117083085336
422,Pm2O3,-3.75186574
423,ZnH12SO10,-1.20008314175
424,CaSi2H4O7,-2.3236989462
425,B5H7,-0.0124673531208
426,Ca2Sn,-1.084102642
427,SbCl3,-0.989785193932
428,CaMg2,-0.134428727608
429,TiMn2O4,-2.5908898268
430,Ce2Ru,-0.268403845666
431,AuCl3,-0.306800529473
432,Pu2O3,-3.46166618
433,ThF4,-4.34893060616
434,Mo3C2,-0.121159352727
435,K2Si2O5,-2.88472181667
436,MoBr2,-0.80841306
437,UBr5,-1.40066026799
438,K5Sb4,-0.47700516248
439,FeF2,-2.46324150333
440,PuOF,-3.8998675156
441,NbB2,-0.8672821136
442,UO3,-3.1709484065
443,YbCl3,-2.48612926625
444,MoF5,-2.36650831667
445,LiFe5O8,-1.7977566619999998
446,Mg3Al2(SiO4)3,-3.2572827756
447,ZrPt3,-1.07326161558
448,ThMg2,-0.1084102642
449,MoO2,-2.03588810367
450,ReSi2,-0.312221560896
451,Cr8O21,-1.68521958034
452,KBF4,-3.25952836743
453,ZrPt,-1.5611078044799995
454,TiNi3,-0.359922595357
455,PrF3,-4.3765202929
456,SiB6,-0.17345642272
457,Pb4Cl2O3,-1.22094555357
458,CaSO3,-2.40324619906
459,SnSe,-0.490014394184
460,Tl2Te3,-0.186465654424
461,TiO2,-3.26129029333
462,BMo,-0.6425329186500001
463,ReO3,-1.52641600172
464,Ca2Mg5Si8(HO12)2,-3.12444822439
465,As2Pb3O8,-1.41927516128
466,CrB2,-0.41132678349
467,US2,-1.5177436988
468,ThS2,-2.16268458285
469,BW2,-0.231814172333
470,Mg7Al18Si3O40,-3.37826428965
471,LiNbO3,-5.65988638992
472,Mg(FeO2)2,-2.1291764044
473,U(BrO)2,-2.39889320566
474,Cu(HO)2,-0.92242003
475,Fe3Mo2,-0.008672821136
476,Ca2MgSi2O7,-3.34698553245
477,In5Se7,-0.59076339
478,CeH2,-0.667807918423
479,CeRu2,-0.3080261044
480,SrO2,-2.18844324855
481,HfI4,-1.02339289405
482,SnCl2,-1.15043397
483,TiF2,-3.1864913567400004
484,BaWO4,-2.94172530167
485,Ni11As8,-0.422227268091
486,Ce3S4,-2.4469745348
487,ErCl3,-2.576557522
488,Sr(CuO)2,-1.610607558
489,UF6,-3.253936597
490,K2FeO2,-1.5417888052000002
491,Cs2O,-1.19672770933
492,CdSb,-0.13225844947
493,Cu2Se,-0.228384289915
494,Pb4SO7,-1.40496316742
495,KTl,-0.17454052536200002
496,B4PbO7,-2.47211159108
497,Er2O3,-3.9340696066
498,CrSi,-0.367931585
499,Sn3S4,-0.5482461932399999
500,LuI3,-1.5261387575
501,CaCu2O3,-1.6460291781
502,Co(HO)2,-1.1236941534
503,TiF4,-3.4187581022000004
504,Ga2(SeO4)3,-1.20602913361
505,TiNiO3,-2.49248256376
506,Mn3C,-0.039027695112
507,Np(HO2)2,-2.0591731636
508,Li4SiO4,-2.68327495543
509,Cs2UO4,-2.854912202
510,AlSb,-0.26092049725
511,RhBr3,-0.546388767995
512,BaSiO3,-3.3537741293
513,BaF2,-4.1759716684
514,ScN,-1.626153963
515,CeNi3,-0.35238518
516,NdCl3,-2.69704216075
517,MnBr2,-1.32983257419
518,UI3,-1.19370479725
519,SiS,-0.511108792915
520,NdI3,-1.6660564025
521,HfCl3,-2.0055898877
522,FeP,-0.649917461025
523,WF6,-2.587069853
524,Nb5Si3,-0.66130261162
525,CaH6N2O9,-1.05830712556
526,W(ClO)2,-1.61748114186
527,ZrI4,-1.0098944688
528,MgCr2O4,-2.640815996
529,Fe2CuO4,-1.4331831004799995
530,NpCl2O,-2.6647315490200003
531,UF4,-3.980916107
532,SnO2,-1.99557109337
533,CsI,-1.8039011935
534,Ce3Ru,-0.20410356911
535,MoI2,-0.359294693333
536,NbCl3,-1.50690267238
537,Si(NiO2)2,-2.0779472984000003
538,TiAl2O5,-3.37724920085
539,MnB2,-0.32523079260000004
540,SeCl4,-0.391143404092
541,Rb2Si4O9,-2.9829405487
542,ZrI3,-1.01569846
543,V2FeO6,-2.18843864221
544,AlNi3,-0.396780530545
545,CoSO4,-1.5343662605
546,NiO,-1.2421577595
547,Ca(HO)2,-2.0436267586000003
548,SrS,-2.4874248
549,Ti5Si3,-0.7501995464769999
550,MoAsO4,-1.573104447
551,CaH2,-0.61149193
552,MnAs,-0.29487384577
553,Al4B2O9,-3.24161199936
554,PbCO3,-1.44922758268
555,Na3PO4,-2.48340864537
556,NbCl3O,-1.82302741736
557,TiZn2O4,-2.4426363475
558,TaC,-0.746730107095
559,NiWO4,-1.94820637947
560,Sr3(AsO4)2,-2.64453916068
561,GaF3,-3.0445043125
562,Pr2O3,-3.7510365984
563,K2SiO3,-2.66534476833
564,YRe2,-0.4690557673899999
565,UCl2O,-2.7644617371
566,ZnF2,-2.640815996
567,ThI4,-1.3780333392
568,FeS,-0.5249502755
569,P4S7,-0.304653005618
570,Be3(AsO4)2,-2.18291457488
571,Pt5Se4,-0.279457569938
572,HfI2,-0.965573395523
573,MoCl6,-0.77435903
574,CdSeO3,-1.1925129062
575,TbPO4,-3.40483543283
576,ScBr3,-1.9328456676400003
577,K3Sb,-0.49868721532
578,SmOF,-3.96927357703
579,MgI2,-1.27825996667
580,BeBr2,-1.23680288667
581,Mg3Si2H4O9,-2.51368095067
582,MgNi2,-0.190802064992
583,PuH2,-0.481340882097
584,GaI3,-0.564852715
585,CaWO4,-2.8417964650800003
586,Rb2O2,-1.062337675
587,Th3P4,-1.69085662
588,CeO2,-3.76706666933
589,Yb2O3,-3.7614008684
590,K2CrO4,-2.078332257
591,CoP3,-0.7261155740649999
592,GaSb,-0.215519812515
593,InS,-0.69382569088
594,Cr3C2,-0.17692555117400002
595,ThAl3,-0.289455923628
596,BP,-0.40937830073
597,Ce2SO2,-3.51682482494
598,K3AlCl6,-2.168205284
599,Tl2Se,-0.32523079260000004
600,Al2CdO4,-2.8410388863
601,ReCl3,-0.6840470021349999
602,CuF,-1.3473551
603,AgP2,-0.149663513557
604,PbBr2,-0.958346044577
605,CeAl4,-0.337893857686
606,MgWO4,-2.61846372037
607,CoSn,-0.15177436988
608,NaTl,-0.171721962136
609,Sr7Mn4O15,-2.7263411547900005
610,AlN,-1.6478360158399998
611,CaO,-3.2902411542000003
612,Tl2SO4,-1.37959834397
613,CaSO4,-2.48331363957
614,PbSeO3,-1.11522861766
615,LaS,-2.36334375956
616,Te2Pd,-0.187911124613
617,PbSO4,-1.5946068525
618,NiS2,-0.453879021353
619,MnS,-1.110013317
620,AlCl3,-1.82834014216
621,CaNb2O6,-3.0807792575
622,TmCl3,-2.58148055025
623,CaCr2O4,-2.732909938
624,GaP,-0.59412141348
625,NbFe2,-0.16030416409
626,HfF4,-4.001644647
627,SrAl2O4,-3.4418260060000003
628,Cu2S,-0.274639335973
629,ZrB2,-1.11445613407
630,Sr14Cu24O41,-1.65546254424
631,MgCl2,-2.22589972033
632,PuN,-1.55048442773
633,ZnSeO3,-1.35209364424
634,KAlH24(SO10)2,-1.3088777476200002
635,Na2S,-1.29369581945
636,K3Al2Cl9,-2.1174055549
637,NiAs,-0.379803856285
638,ZrSi,-0.8671991994399999
639,Na3Bi,-0.494642558952
640,AlI3,-0.801152888865
641,KNO2,-0.94807159825
642,P3N5,-0.414723672983
643,CaAl2SiO6,-3.4183435314
644,Mn2P,-0.6515187407399999
645,TiFe,-0.210316948975
646,Ag3Sb,-0.05962564531
647,BiAsO4,-1.37363025183
648,SmI3,-1.6225264685
649,PuIO,-2.8591393435500003
650,FeBr3,-0.6804143254999999
651,Sm(HO)3,-2.082626026
652,Cr7C3,-0.153942575164
653,BaMoO4,-2.6040228375
654,NbCl2,-1.40644180327
655,GeBr4,-0.721353192
656,VO2,-2.47464220033
657,RbH,-0.2710256605
658,NaAl(SiO3)2,-3.14323434852
659,KFeO2,-1.787836575
660,HoCl3,-2.58510804475
661,ZrS2,-1.99339459667
662,UBr2O,-2.52270736615
663,RbNO3,-1.0254408738
664,RbO2,-0.964222585667
665,Mn5Si3,-0.26018463408000003
666,Bi2Se3,-0.290539508056
667,BiClO,-1.26754676624
668,PbWO4,-1.93692659895
669,YAsO4,-2.61716818662
670,Mg2Al4Si5H2O19,-3.0728084861
671,CuH2SO5,-1.24695987127
672,K3PO4,-2.5984520423700004
673,Hf3Si2,-0.79568573644
674,TiAl,-0.39027695112
675,NaVO3,-2.3802582482
676,TaI5,-0.505914566267
677,Fe2SiO4,-2.1899850571
678,CeN,-1.715286685
679,Nd(HO)3,-2.095803455
680,BiI3,-0.39027695112
681,SnTe,-0.31438976618000003
682,TiI,-0.67327334347
683,BHO,-1.45365796263
684,Tl2Te,-0.27753096730300003
685,Na3Sb,-0.511696965237
686,NbI5,-0.463973820333
687,CaAl2O4,-3.4393978056
688,Pb3SO6,-1.45009610851
689,Sr3Al2O6,-3.33982005305
690,Ba3Bi2,-1.38765138176
691,Cr5Si3,-0.42104846875
692,SnBr4,-0.804267352
693,Ca2CuO3,-2.47522950897
694,Sr(HO)2,-1.9988531122
695,NaNO3,-0.9694738158
696,BiBr3,-0.7155077437199999
697,UClO2,-3.0300720665200003
698,UAl3,-0.295959503053
699,ErF3,-4.3884392034
700,MoCl5,-0.91064621928
701,Sr4Ti3O10,-3.4438762153800004
702,In2Te3,-0.397214793458
703,Bi2S3,-0.29662748025400004
704,MoCl4,-0.988701609504
705,P2Os,-0.5261525308199999
706,RuCl3,-0.5962564531
707,Mg2Si,-0.273193865784
708,XeF2,-0.562296195067
709,GeP,-0.108819652865
710,BeS,-1.22298386
711,ZrTe2,-1.01605084518
712,Cu3As,-0.0303543557625
713,KAl3Si3(HO6)2,-2.9535208280000003
714,TiAl3,-0.1203291747
715,P2O5,-2.2651704329
716,PtBr2,-0.34691284544
717,ZrSi2,-0.583432396353
718,CrO3,-1.50581960616
719,In2Se3,-0.5716931332
720,Ho2O3,-3.8992456594
721,K2O,-1.2495854863299998
722,UO2,-3.74841098333
723,CePO4,-3.39913508433
724,CaB6,-0.2477948896
725,Zn3S2O9,-1.71784073725
726,Ca2Fe2O5,-2.46356394729
727,Ca(NO3)2,-1.07880304527
728,Sn2S3,-0.546387731568
729,Na2Se,-1.18528555525
730,LiClO4,-0.657688936147
731,CrS,-0.699588225
732,ThS,-2.04902136113
733,CaTe,-1.891479275
734,Ti4O7,-3.20776040913
735,MgB4,-0.26479673423
736,Ag2Te,-0.124310436283
737,ZnWO4,-2.1262299905
738,NaTe,-0.91065658355
739,HfC,-1.1925129062
740,NbSi2,-0.431844583333
741,CdWO4,-2.03863463522
742,Al2NiO4,-2.836700699
743,DyH12(ClO2)3,-1.35206613182
744,PdS2,-0.270303616357
745,Ca3Sb2,-1.50907087766
746,PrS,-2.34166170672
747,ScCl3,-2.39694990504
748,GeSe2,-0.39027695112
