,pretty_comp,min_ir_mode
0,InBrO,49.09817015
1,Mn(GaS2)2,100.7388109
2,SrBrF,103.5230023
3,K2Cu(ClF)2,121.8844118
4,NaV(OF)2,71.87355215
5,Ti3MnO8,93.2944239
6,NaY3SiS7,61.4783238
7,MgH4(ClO)2,155.580318
8,SrS,127.9604149
9,LiAsF6,216.9987452
10,CaH2(ClO3)2,90.563259
11,SiH4,863.830933
12,KHF2,142.11522209999995
13,KHS,120.6287176
14,PrHSe,148.2822374
15,CdSnAs2,129.3761224
16,Li2WS4,426.75113560000005
17,PI3,266.7313991
18,BaAl2B2O7,104.6243861
19,XeF3,146.0734669
20,RbBe2BO3F2,95.4583053
21,LiSiBO4,269.3067861
22,SrSiO3,245.8151795
23,KNbSe2,107.1973719
24,Rb3SbSe3,55.6108582
25,SrBeF4,93.41578455
26,RbErS2,123.9802925
27,TbTlSe2,44.19351905
28,CdSO4,116.7045565
29,Li2AlFeO4,241.7117955
30,Ba(BSe3)2,16.5290604
31,Pr3CuSiS7,55.07422335
32,Pr5AgSe8,15.49884555
33,SmTlO2,30.7585716
34,K2ReF6,113.6911172
35,BaSi3SnO9,64.4723534
36,InI,46.51454565
37,K4HgP2,67.79197905
38,Al5CuSe8,90.8135174
39,Al2Si2H4O9,193.1234802
40,Te3W2Se,173.80649319999995
41,LiMgAs,244.6179145
42,TbTlS2,44.9904173
43,Al2CO,209.1918103
44,YCuSe2,131.6108392
45,Ba2BrN,67.83346645
46,Zn(GaSe2)2,121.0268499
47,TiTl2F6,56.27288905
48,CaCdO2,130.2707362
49,TlInS2,46.09160095
50,Ho2CF2,203.3704011
51,AlSiTe3,188.7353872
52,Pr3AgGeS7,53.72034675
53,Tb2PbS4,56.9263823
54,BaHCl,130.7087884
55,Ba(MgBi)2,75.93604905
56,Rb2Pd3S4,63.63830325
57,Ho2Be2SiO7,177.3852483
58,YbSe,136.2635978
59,Ag2HgO2,105.2669405
60,LiC,363.9086301
61,Pr2PbS4,55.43226895
62,NbTl3Se4,61.14232255
63,Rb2Se3,56.04924395
64,Li2ZrTeO6,169.8144648
65,Li3VS4,436.66709110000005
66,Zn(GaS2)2,100.6014089
67,CaSnF4,68.79841535
68,AgCNO,52.31547800000001
69,RbYO2,77.60101445
70,Ca3TaGa3(SiO2)2,40.19948970000001
71,LiNbO3,144.86933180000003
72,Rb2MgCl4,78.18027059999999
73,BaZrO3,110.9441777
74,Rb2PtS2,75.7339147
75,Na2PdS2,90.5221718
76,K2Pt,98.5676592
77,BBr3,771.1632222999997
78,LiGaS2,140.983023
79,K4I2O,75.45807685
80,K2PAu,48.67489195
81,Ca2BrN,98.3045277
82,RbPbIO6,79.25030535
83,SmSF,203.494263
84,BaSr3O4,86.09405885
85,Bi2PbSe4,48.12641785
86,Al6C3N2,68.09359645
87,PbF2,119.195568
88,NaHS,125.25222820000002
89,BiTeCl,91.98266835
90,Mg(AlC)2,207.9234765
91,RbCaCl3,32.98898625
92,NaScAs2O7,23.32042105
93,PbIF,48.0636865
94,Cd(CN)2,111.8141125
95,TiCoSb,226.1793999
96,AlAgSe2,89.40678105
97,MgI2,167.04498080000005
98,LiY3WO8,89.3115668
99,YbS,197.1170426
100,YbB4O7,83.44453475
101,LiLuO2,120.5018875
102,Ca4Sb2S,48.723749700000006
103,SrCa(CO3)2,92.24633345
104,CuB(CN)4,299.5535019
105,PrClO,110.3742596
106,NdCuO2,111.5067922
107,K2SmF5,59.59848435
108,Al2PbO4,48.55436505
109,Al2Si4O,90.0750817
110,HoAgTe2,36.29957405
111,AcBr3,103.6608379
112,Hg2GeSe4,50.8628854
113,RbBaSiHO4,82.09759495
114,HgSeO4,75.56533045
115,KPF6,108.2873166
116,RbCd(NO2)3,63.75282715
117,NaBeAs,133.5757878
118,TiFeTe,255.1302014
119,Na5SbO5,153.74746869999996
120,BeZnO2,234.101659
121,Tm2O3,221.6407984
122,CdGeAs2,148.3570415
123,Ca2SnN2,97.92096935
124,LiV(PO4)2,60.37440545
125,ScCuO2,133.72606299999998
126,Cd(InTe2)2,72.51067055
127,TaBe2Rh,190.8322018
128,Ca3AsBr3,174.4138634
129,KSmTe2,88.46024135
130,BiAuO2,61.83166705
131,LiNbSe2,224.5625585
132,Li2CdGeO4,135.8633311
133,NaErSe2,107.2055093
134,Hg(AsO3)2,99.67451235
135,TlI,50.43490485
136,Ca2H3Br,104.2492319
137,Ba2Ti3Tl2,28.7515019
138,P2Ru,201.2917956
139,V2MoO8,67.15155899999999
140,Dy3CuSiSe7,38.9852162
141,RbNaS,85.60444749999998
142,CClF3,526.6126414
143,Na3AsO4,196.6999008
144,NaDyS2,117.9874976
145,RbCl,124.706889
146,KCrS2,120.7464431
147,Ga2Os,69.35085809999998
148,Ca(InTe2)2,32.7645074
149,Sm2SeO2,134.394397
150,AsBr3,98.53547645
151,RbSmS2,121.1469099
152,CaAlF5,62.00755495
153,Zn(GaS2)2,104.9378761
154,HoTlSe2,42.6124289
155,AlSCl7,55.96690279999999
156,MgTlF3,102.1971731
157,Na4MnO4,121.1467098
158,GaF3,174.9439283
159,TiMn3O8,208.6306966
160,InAgSe2,39.5633718
161,SrS2,143.3550751
162,LiYbAlF6,92.0532703
163,Nd2TeS2,87.3846038
164,Li5MnO3F,125.5717878
165,Nd3CuSiS7,54.72511555
166,TbTlTe2,42.99351935
167,H(CO)2,242.02778680000003
168,LiCaAlF6,122.3264327
169,SrSe,136.9836243
170,K2H4Pd,114.1422093
171,BaSi4O9,76.56336255
172,Sc2CCl2,175.2641883
173,KNdTe2,88.136713
174,GaCuO2,337.1344163
175,Rb2NiF6,110.79790459999998
176,LiYF4,140.6893095
177,TbNiSb,166.7347924
178,Ca(ZnP)2,150.8339793
179,HfIN,86.38373695
180,RbNdTe2,95.51910235
181,Li2GePbS4,45.50170615
182,HgTe,22.43271075
183,K3Ta3(BO)2,108.0420607
184,TiOF2,71.78921
185,ZnSe,138.28594180000002
186,Sm5AgS8,33.3483325
187,CaGaSiH,147.8071
188,Mg(BeAs)2,171.94242830000005
189,RbCl,111.2749764
190,SiC,746.4816877000003
191,TmCuSe2,69.69546365
192,PbCN2,30.4240044
193,InSe,130.9329004
194,RbH2N,110.2296873
195,Ga2TeS2,50.5477279
196,Ca2YSbO5,98.3178677
197,ScPS4,106.8755111
198,LiCoS2,289.2560224
199,ZnPdF6,167.1712772
200,TaI2O,59.4788579
201,CoSnC4Cl3O4,77.7004975
202,Tl2ZnI4,27.41326645
203,Li2Ge2O5,86.81675335
204,Y2TeO2,68.92741315
205,Al5CuS8,116.7611181
206,CrOF3,66.5631983
207,TmIO,57.8956667
208,LiNd2HO3,184.517546
209,Ba(MgSb)2,83.5258754
210,Li3VO3F2,91.7966087
211,RbYbF3,75.23356465
212,P2Os,240.31102880000003
213,NaDyO2,80.2988627
214,KAuSe2,85.94071555
215,TmBrO,121.0933831
216,K2BaCdSb2,48.75413155
217,KCN,126.9514774
218,Si3As4,308.31034480000005
219,K4Br2O,55.10093670000001
220,SmBi2BrO4,66.34558955
221,Nb3TeI7,132.9798234
222,Bi2Te2Se,72.8211257
223,Cd(HO)2,132.4332169
224,Li2Si2O5,139.8469219
225,Sr7(HBr)2,82.2468362
226,Na5MnO4,91.38543655
227,Ac2O3,177.1334558
228,KSrCO3F,67.0816574
229,Ca(BeP)2,201.6283972
230,WSe2,235.9570196
231,Mo3W(SeS3)2,241.37105860000003
232,RbCaBr3,21.8972098
233,HgNO2,38.5411276
234,LiMnO2,206.7476555
235,SrP,109.64956409999998
236,KYO2,206.5350826
237,LiTaO3,141.1479054
238,HgI2,20.93976465
239,HgBr2,35.2256707
240,ZnCu2SnS4,60.28469395
241,Sr2SnS4,57.05087785
242,Y3CuSnS7,70.4245947
243,Ca(MgSb)2,138.4069689
244,YbSe,134.27703830000002
245,Li7NbO6,185.6763918
246,ErTlSe2,43.74022585
247,NbCu3Te4,94.9350438
248,PdF4,180.9092761
249,BaCl2,132.8145408
250,KPrO2,184.8701222
251,MgSnF6,158.0965421
252,Mg(BeP)2,190.7423235
253,BaLi2Mg(PO4)2,129.001802
254,HgCl2,35.4148986
255,MgBr2,204.4412029
256,Rb2Se,104.2969224
257,TaTlPt,124.0278496
258,Nb2Te6I,14.327960399999998
259,SiAs2,129.4162091
260,YAgSe2,37.5206843
261,Nd3SiAgS7,54.90167045
262,ZnCoF4,48.9682052
263,NaSm3SiS7,52.9441255
264,LiCdBO3,130.695982
265,Na2CdSnS4,70.7346163
266,Al2HgSe4,48.04230915
267,NaSbS2,80.82342485
268,Au2O3,110.7773277
269,TbF3,134.4236116
270,LiTmO2,93.97006155
271,KTlO2,190.474523
272,MoW3Se8,236.0680084
273,ZrSnPd,190.0715216
274,KNa2Sb,92.87924975
275,PbF2,117.46066770000002
276,CuRhO2,561.1734799
277,LiNiBO3,197.7369524
278,HfCl4,54.06928780000001
279,NaInSe2,110.752682
280,PrZr3F5,27.45975635
281,YbS2,98.7832336
282,Na2AgAs,83.29239205
283,CaS,227.7421809
284,KYSn,114.5360061
285,DyTlS2,43.88109625
286,LiZnSb,137.408003
287,NiPbF6,89.47601565
288,Mg2PN3,277.94033410000003
289,ErTlTe2,42.52681945
290,CaC2,123.6053385
291,RbHF2,116.1887654
292,MoSe2,273.7115207
293,NaMgAs,83.50479820000002
294,Mg(AlSe2)2,165.1267888
295,SbI3(BrCl3)2,35.10537725
296,P2Pd3S8,228.0544369
297,Tm2TeO2,104.8033088
298,ScNiSb,194.5849105
299,SnF4,134.22457880000002
300,HgPSe3,32.25061725
301,Ti3TeO8,108.4295877
302,Mn2OF2,98.5719947
303,ErSeI,38.29950685
304,YBi2BrO4,71.28005555
305,Sn(WO4)2,102.7070946
306,ZnCdSe2,160.7766148
307,BaSe,109.5501144
308,CaSiO3,222.03089330000003
309,Zr3GeO8,135.26286430000002
310,ScSbPt,150.3692804
311,ZrCoBi,169.702709
312,Ti(NCl)3,74.3036666
313,ThSnPt,107.8053424
314,CdBr2,108.7656223
315,K4Au6S5,74.49272775
316,MgGeN2,274.9132546
317,KNdS2,99.2564701
318,RbHoSe2,111.3523484
319,BeTe,453.44837760000013
320,Tb3CuSiS7,50.45978395
321,HgPS3,42.85898545
322,NaAlSe2,68.37363640000001
323,LuTlSe2,43.3385251
324,Tm2SO2,205.2265287
325,TiZnSiO5,87.16366005
326,CdSbS2Br,34.2277053
327,LiAgC2,169.3145817
328,Ba2SbAu,45.7045742
329,Yb(HoS2)2,72.00121595
330,Ca(HoSe2)2,91.2574059
331,CdTeMoO6,49.73575545
332,P4PtF2,198.31260680000003
333,Li7SbO6,187.4124261
334,CuBS2,195.6214285
335,SiP,226.22488930000003
336,Ba2AsAu,61.4288991
337,GaB3N4,345.0898921
338,Ag2GeS3,53.5739736
339,RbSb,34.83811035
340,Na2GeO3,169.6748284
341,Al2HgTe4,40.4238018
342,Na3VH6O7,124.5501773
343,K2AgP,80.79567765
344,Ba2NCl,92.12193795
345,Y3CuGeS7,57.64924355
346,DyCl3,116.63969070000002
347,Sr2C(NCl)2,132.7661166
348,Li2CrPO4F,76.5888753
349,RbHF2,115.6368562
350,NaCaTaTiO6,78.0882913
351,LiGaO2,204.58684230000003
352,LiScMo3O8,214.2953942
353,BaZnF4,54.3854458
354,KSmS2,100.5513506
355,InSe,164.2633907
356,BP,780.2599017000001
357,Ba2AsBr,79.83599805
358,SnBrCl,52.72718375
359,Zn2Bi2O5,29.73556035
360,CdSiO3,151.984521
361,NaInS2,123.6085734
362,BeBr2,418.7844543
363,TbCl3,119.6667035
364,DyClO,99.05226805
365,SmCuSeO,88.0271249
366,AgNO2,72.47985515
367,Bi2TeSe2,64.07125295
368,K2AgAs,76.05811005
369,Sr(AsO3)2,129.9675847
370,AlP,419.0510542
371,NaHoO2,82.577935
372,LiTlPHO3,75.5219421
373,LiMgBi,194.2871284
374,H2C,722.3105081
375,BaZnO2,72.78817590000001
376,Yb4Br6O,50.12535015
377,KCrP2S7,8.526994699999998
378,Sr2InI5,12.268131
379,DyNiSb,168.2724275
380,Sb2TeSe2,44.96610515
381,TlP5,20.0544222
382,NdHO2,171.82503630000005
383,LiSiBi3O7,71.294296
384,MgGeAs2,96.36172345
385,TmTlSe2,42.5433944
386,WBr4O,88.51406825
387,Li2Se,282.87643419999995
388,Cu2SiS3,152.35083740000005
389,LiAlSiO4,171.87939680000005
390,TeW2Se3,190.7336859
391,Rb3TaO8,42.68389795
392,TlSbS2,39.7481308
393,Zn(IO3)2,99.8874521
394,Al2ZnTe4,97.7095637
395,Tl2CdTe4,32.84004515
396,Dy2SeO2,60.9970166
397,TiSnO4,97.4889201
398,As2Os,137.3399023
399,LiYMo3O8,152.91265149999995
400,TbBi2BrO4,70.20518505
401,ZnCu2GeS4,100.0585376
402,RbAcTe2,63.92681410000001
403,KBe2BO3F2,115.51096
404,Mn(Sb2O)2,161.5374951
405,BaCaI4,44.2152966
406,Mg(SbO3)2,94.8184522
407,PbF4,100.3913039
408,Zn(InTe2)2,75.575102
409,KMgH3,605.4760868
410,TiZnN2,147.31512080000005
411,TiSiPd,251.3134273
412,BiSBr,39.8611206
413,SrAlSiH,147.1323961
414,Ba2ZrS4,58.04200649999999
415,ZnAgF3,28.0302748
416,BiSI,39.17514445
417,AlGa3N4,406.5655145
418,Rb2O2,185.6793933
419,FeP4,168.13159050000004
420,AlBN2,431.9625734
421,TlAgI2,32.38535125
422,AgBi(PSe3)2,34.27382835
423,CoCuO2,592.1122749
424,ThO2,270.9063855
425,LuTlO2,29.704178
426,In2HgSe4,41.72548565
427,KNa2BN2,90.604613
428,Mg(AlS2)2,79.29052545
429,SnSe2,135.0278802
430,V2ZnO6,111.9800287
431,NdOF,212.4596101
432,ZnI2,76.63709940000003
433,TbSF,200.7058361
434,KAlF4,80.0950275
435,Zn4P6SN2,130.7859937
436,KPrS2,100.0864182
437,Zn(HO)2,235.3305398
438,Mg4H2O5,352.4269254
439,AlBr3,79.10823435
440,Pr3SiAgS7,55.52097995
441,SiGeN2O,183.6640528
442,HgI,36.5095123
443,DyTlSe2,43.86475475
444,Na2MgSiO4,187.7528629
445,AgAsO2,70.96316385
446,ZnSbAsO5,55.93942239999999
447,KPH2SO3,94.48055
448,Te2I,32.8278057
449,Na2Se,161.2006601
450,MgPSe3,105.8068103
451,HgSO4,85.65063725
452,CaThBr6,52.16693710000001
453,NaAuC2,72.55409225
454,SbSeI,44.21639715
455,RbBF4,46.8256678
456,NdTeF,118.60040390000002
457,LiV3O8,90.08225195
458,CdSiAs2,74.63016309999998
459,TaCu3Se4,268.9295309
460,Na6ZnSe4,112.9690563
461,Rb2Pd,68.0484739
462,Li3SbS4,138.5940291
463,TlBrO3,58.68502785
464,Ba2H3I,68.28649285
465,AsCl3,53.46595295
466,ZrSeO,151.9793184
467,Bi2Pb2Se5,65.153227
468,IrI3,58.77834115
469,Te2Mo3WSe6,190.4020868
470,ZrZnN2,93.5563548
471,LiH,571.1366922999998
472,NaPrSe2,105.6580026
473,NaZnP,176.54749630000003
474,KNO3,127.088079
475,Ca2SiB2O7,206.66077880000003
476,BH3OF4,92.2948577
477,LiGaSe2,90.9503858
478,RbLiCrO4,97.05073445
479,Hf(B2H3)2,216.8933258
480,RbSrCl3,27.23964635
481,CO2,133.360647
482,MgMoN2,254.8574317
483,Ta(TeBr3)2,25.34063065
484,ZrSiPd,216.8080499
485,Ho3CuSiS7,48.1730745
486,SbSBr,47.2001216
487,RbYS2,130.1806578
488,Zn(InSe2)2,60.49770039999999
489,DyBi2BrO4,70.9550598
490,BaNaH3Pd,89.229926
491,V2ZnO6,65.40745405
492,Pr3SiAgSe7,44.85458275
493,KHCO3,132.2826083
494,PICl6,63.88769455
495,TmNiSb,156.0551886
496,KH8N3,92.9902719
497,Pt(SCl3)2,64.8809576
498,TaSbRu,155.4331444
499,PrOF,242.8543332
500,LuAgO2,200.321344
501,CaMgNiH4,60.99698325
502,NaHS,115.359551
503,Sr(GaTe2)2,38.277796
504,Na4CrO3,67.1152075
505,LiTeHO4,198.9802404
506,PrTeCl,95.7748635
507,Mg2H2O3,343.73708270000014
508,SCl,32.6886695
509,Rb2SnO3,29.4934727
510,K6Fe2O5,54.23993975
511,K2PdF6,109.70149
512,Rb2Zr2O5,94.92187055
513,SnB4O7,54.39101525
514,Ba2ZnF6,71.2698838
515,BH4O2F3,68.51173875
516,CaAlSiH,165.0438474
517,ErTlO2,28.65385310000001
518,Cd(GaTe2)2,88.05860729999998
519,CBrN,103.9389435
520,BeGeN2,270.3490403
521,RbLuS2,123.9919317
522,SrAl2B2O7,145.4243425
523,ZrC,515.2656374
524,LiInTe2,57.0333691
525,CN2,608.1973801
526,ScBrO,56.47885865
527,CdPbF6,81.88335455
528,SeCl,61.42052825
529,SrCl2,143.1337311
530,SbAsO3,48.15956775
531,HfS2,146.3178224
532,Li2BF5,203.4000826
533,InS,73.17340175
534,CaZnSe2,166.4678257
535,ErSF,194.1950824
536,Li4TiS4,191.8456416
537,PAuS4,207.8916272
538,Bi3BrO4,64.81235665
539,SrO,212.8578758
540,KC2IN2,113.1946024
541,SmBrO,83.49195845
542,LiBr,288.0838366000001
543,Ga2PdI8,30.74159645
544,ZrCl4,52.5596667
545,RbCdF3,68.443538
546,As(S8I)3,88.9369796
547,KGeNO,76.44673759999998
548,BaLiAs,85.76376045
549,KMnPH2O5,71.80198305
550,MgGeO3,122.7744899
551,ZrPdF6,123.9421735
552,Te2Mo,227.9840684
553,Ba(CuS)2,107.5210003
554,Pd(Se4Cl)2,26.3892547
555,Rb2S,150.6612263
556,Ge3Sb2O9,108.0621041
557,Li3As,185.3093417
558,NaCrSe2,130.5683182
559,RbF,165.1933888
560,Ca(BeAs)2,175.0856324
561,K2NiO2,144.08744109999995
562,Rb4SnO3,38.61059565
563,Tl2S5,40.9507318
564,RbTeAu,55.43283589999999
565,NClOF4,91.7900054
566,CuH,877.9502558
567,TiSnPt,176.2767944
568,Sr2IN,67.280957
569,Te2O5,57.18868005
570,K2PtS2,97.66971045
571,NaHO,66.21839265
572,RbBr,94.76519225
573,NbCu3Se4,304.3516998
574,TePbO3,48.28583085
575,Sr2ZnN2,131.40820459999998
576,P2Pd,117.3554151
577,Pb2O3,96.2565709
578,KH2N,128.1565463
579,Ba2ClF3,114.889316
580,MnTlF3,62.9228457
581,CaClF,144.90404919999997
582,AsF3,115.4788773
583,Ca(NdS2)2,88.46617765
584,Ta(TeCl3)2,36.3379599
585,NaLi2Sb,136.9742529
586,GeSe2,50.31731275
587,KLiTe,106.2346908
588,Tb3CuSnS7,62.20305265
589,TbH3(CO2)3,141.9908933
590,AcGaTe2,43.14532855
591,BaBe2Si2O7,99.4324914
592,Ga2Te5,67.73271609999999
593,ZnS,264.43908680000004
594,TlZnF3,81.44386825
595,K2ErF5,115.7718904
596,Rb2PdC2,41.2271366
597,Zn(SnO2)4,78.53574825
598,NaSrAs,98.84363045
599,SmAgO2,78.41322035
600,LiSbTe2WO2,76.4997641
601,MoW2(SeS2)2,241.0200498
602,AgHgAsS3,31.7561368
603,NdOF,244.603574
604,AlH3,321.01662810000005
605,NbOF3,54.2585157
606,MnTeMoO6,64.5376527
607,Sn3As4,168.9983236
608,ZrNCl,84.29239179999998
609,NbBr2O,78.90273165
610,SrO,123.0092072
611,K2MnF6,88.77366465
612,V2Te2O7F2,21.7233896
613,Rb2PdCl4,71.2050514
614,HoBi2ClO4,95.95485345
615,HgCN2,49.49723625
616,LiHSeO3,54.3619674
617,K2PdCl4,95.17993285
618,BaTm2F8,83.15539025
619,ErAgTe2,35.6659574
620,Na3VS3O,76.26521355
621,Rb2CaH4,115.9909332
622,TbBi2ClO4,86.2414992
623,Rb2S5,35.58928575
624,TlHgF3,30.44925035
625,K2Sr(P2O)2,73.73755035
626,BiClO,87.80471375
627,BeS,556.6920069
628,K4CO4,78.33951685
629,Ba3Bi2F2,78.80985190000001
630,SnF2,50.5514631
631,ThSeO,124.79046409999998
632,Cu2SO4,82.63566385
633,Tb2TeO2,68.21765845
634,Sr2H6Ru,149.3905246
635,ScGeAu,160.0957412
636,Rb2SeCl6,71.5777043
637,PBr3,110.6884166
638,YZr5O,76.947788
639,Rb2GeF6,104.1407444
640,Na4SnSe4,64.90817120000001
641,Cu2WS4,431.8072624
642,BeGeP2,197.5051032
643,Na3MoNO3,179.5228166
644,NdH3(CO2)3,127.7589809
645,TlS,12.97405045
646,Rb2LiVO4,61.36750175
647,Li4MoO5,211.5811711
648,NaLi2AsO4,159.6210373
649,TlBr,62.9932809
650,Na2SiO3,165.36284009999997
651,Y3CuSiS7,60.708339
652,SbTe2F6,34.01516575
653,HS7N,203.4517417
654,Cd(HO)2,160.0940404
655,HoIO,61.1089392
656,PrBr3,118.215745
657,MgCN2,191.5460252
658,NbFeSb,199.7653661
659,CaC2,233.4179173
660,UF5,96.99377265
661,Ag3AsS3,17.51792125
662,SiF4,351.7017964
663,K7NbAs4,52.20552305
664,KCaBi,56.64917710000001
665,KSnSb,87.99300785
666,RbSmTe2,96.6308246
667,Sr(CdP)2,145.19442759999995
668,CaSe,207.3472218
669,Yb(NdS2)2,69.29246225
670,CaGeO3,108.9789956
671,PbIBr,30.229774
672,NaNbS2,146.4422845
673,LiBF4,123.0852119
674,PCl3,180.14372690000005
675,CaPdF6,172.82613659999996
676,AlAgO2,96.36785985
677,TiSnPd,184.0958353
678,K2MgH4,187.6339368
679,Li5V(SiO4)2,99.17179445
680,Pr2TeO2,72.09239485
681,YBi2ClO4,94.5153007
682,Ca(MgBi)2,129.1108232
683,Sr2H3I,74.99911415
684,MgSiP2,311.7449946000001
685,Al3GaN4,244.42205
686,NaBF4,105.9063934
687,LiAlO2,270.4261122
688,Na2BeF4,138.3747195
689,SnPSe3,35.7708098
690,Ga2HgSe4,46.1706738
691,RbAuS,38.0097287
692,NaHF2,120.3736568
693,Cd(AgI2)2,48.5161126
