,pretty_comp,formation_energy_peratom
0,ZrGeTe,-0.8014
1,NiTeO4,-0.8210200000000001
2,AgBi(PSe3)2,-0.16487000000000002
3,TaI2O,-1.39821
4,YbClO,-2.26123
5,AlN,-1.52261
6,ReSe2,-0.37984
7,ZrS3,-1.35714
8,SbClO,-1.26137
9,S5N6,0.64863
10,SmGe2,-0.58712
11,AsI3,-0.19585
12,NiCl2,-0.62429
13,CrPS4,-0.47532
14,TiBrN,-1.4974299999999998
15,HfSe2,-1.38302
16,NdBrO,-3.05852
17,ZrFeCl6,-1.42366
18,Pd(Se3Cl)2,-0.18229
19,InBrO,-1.3267
20,Ta3SBr7,-0.97968
21,Fe(PS3)2,-0.19164
22,Re(AgCl3)2,-0.55823
23,MnI2,-0.38468
24,Bi2TeSe2,-0.31886
25,DySb2,-0.21347
26,SrBiBrO2,-2.11552
27,Rb(SbSe2)2,-0.53919
28,BiSBr,-0.6116699999999999
29,Tb2C,-0.31929
30,BaBrCl,-2.48017
31,Lu2CCl2,-1.70269
32,CrBr2,-0.62168
33,TiNbS4,-1.2558200000000002
34,Al2Os,-0.58309
35,VCl2O,-1.65442
36,UTe3,-0.55216
37,ScPS4,-1.0076
38,CaI2,-1.71628
39,Tl2SiSe3,-0.46824
40,AuSe,-0.07314
41,Bi2Pb2Se5,-0.4862
42,Sb2Te2Se,-0.1974
43,BiClO,-1.39849
44,BiIO,-1.07756
45,Sn(BiTe2)2,-0.26145
46,CrSiTe3,-0.14145
47,Rb3Mo2Cl9,-1.48492
48,YGaI,-1.10374
49,SbSI,-0.25249
50,HgPS3,-0.15992
51,Nb3SBr7,-1.05071
52,PbI2,-0.65852
53,Mg2Al2Se5,-1.11609
54,Fe3Se4,-0.1591
55,Tb(CuS)2,-0.89143
56,BaV4O8,-2.45408
57,Nb2Te6I,-0.36327
58,LuIO,-2.90683
59,HfCl4,-1.87674
60,Al2Te3,-0.48681
61,BiSI,-0.46516
62,GaAg(PSe3)2,-0.18368
63,Ca2Cu(BrO)2,-2.0986599999999997
64,YCBr,-1.21922
65,SiS,-0.38924
66,PSe,-0.04488
67,HgI2,-0.15174
68,NbBr2O,-1.61493
69,Al2Si4O,-2.9783
70,NbTlBr4O,-1.28921
71,Hg3(BO3)2,-1.29969
72,KCN,-0.39052
73,TiNCl,-1.66356
74,KrF2,-0.12412999999999999
75,DyTe3,-0.58943
76,CaHI,-1.2298799999999999
77,VAg(PSe3)2,-0.23824
78,TiTe2,-0.71943
79,HoIO,-2.90911
80,ZrP2(HO3)2,-2.2280900000000003
81,Te2Mo,-0.2288800000000001
82,TiS3,-1.09633
83,BiBrO,-1.25771
84,CdBiClO2,-1.30322
85,CdS,-0.35854
86,BaIF,-3.05209
87,NbCoTe2,-0.34851
88,HfTe2,-0.84264
89,SnF4,-2.44524
90,GeS,-0.35955
91,AlPS4,-0.62133
92,CoI2,0.01733
93,SbSeI,-0.33721
94,KMnP,-0.4572100000000001
95,TbHO2,-2.72031
96,BaThBr6,-1.9717
97,TbCl,-1.51204
98,TlPt2S3,-0.4849
99,Co3SbO8,-1.09265
100,Pt(SCl3)2,-0.28179
101,BiI3,-0.45744
102,InTeBr,-0.55092
103,TePdI2,-0.24185
104,SrHI,-1.29189
105,P2Pd3S8,-0.32429
106,Sr2FeClO3,-2.47478
107,Y2GeI2,-1.32016
108,YbCl3,-1.77433
109,AlClO,-2.55015
110,VBr2O,-1.45936
111,PPdSe,-0.3608
112,YbBrO,-2.18213
113,ZrTe5,-0.48481
114,Co3TeO8,-1.03385
115,Bi2PbSe4,-0.45752
116,TmClO,-3.26874
117,SiAs,-0.05699
118,MoCl3,-0.92461
119,Bi4Te3S8,-0.31314000000000003
120,BCl2,-0.7586
121,Sn(SbTe2)2,-0.18218
122,Li2CeAs2,-1.03869
123,Al2Te5,-0.35620999999999997
124,Np(OF)2,-3.1546
125,RbLiSe,-1.3107
126,SiS2,-0.67065
127,Bi2Te3,-0.23876
128,MoSe2,-0.67092
129,SmBrO,-3.08097
130,Pr2Br5,-1.91415
131,Ba2ZrS4,-2.08963
132,YCl,-1.53641
133,MgI2,-1.12563
134,Bi2Te2S,-0.32213
135,ThI4,-1.26145
136,Nb3IrSe8,-0.7168399999999999
137,BiTeBr,-0.5038199999999999
138,Pr3OsI3,-1.0264799999999998
139,RbI3,-0.83985
140,RbAuSe,-0.78399
141,NdTe3,-1.02064
142,SmSI,-1.90381
143,Ag2SO4,-0.91061
144,CdInGaS4,-0.39712
145,YI3,-1.47294
146,In2Se3,-0.47992
147,Nb2CoS4,-0.63015
148,Cr3O8,-1.45832
149,HS7N,0.031760000000000004
150,UIN,-1.4407299999999998
151,S3(NCl)2,0.17935
152,TmBrO,-3.09072
153,Al2FeS4,-0.90423
154,InSe,-0.49486
155,IrCl3,-0.51235
156,SrHBr,-1.53332
157,PtO2,-0.58016
158,Ge2S3I2,-0.30249000000000004
159,TiGeO3,-2.4477
160,Mg2H2O3,-2.1560599999999996
161,ZrBrN,-1.76767
162,PdBr2,-0.29728000000000004
163,Bi2Se3,-0.3791
164,UTe3,-0.5402100000000001
165,CuBi(PSe3)2,-0.14449
166,TiBr2,-1.11188
167,CrP2S7,-0.29377
168,MgPSe3,-0.6253
169,Zr2Te2P,-1.15904
170,UBrO2,-2.83573
171,ErSCl,-2.29765
172,Th(TeI)2,-1.03136
173,Rb2Pd3S4,-0.80197
174,Te(HO2)2,-0.93508
175,HoBrO,-3.0581
176,PbIF,-1.59793
177,Ag2SeO4,-0.48007
178,Nb(SeCl)2,-0.94987
179,YTe3,-0.96285
180,KAsO2,-1.6721599999999999
181,Ag3SnP7,-0.05736
182,BiI,-0.29433000000000004
183,NiP2,-0.37265
184,Sr2FeBrO3,-2.38774
185,NbI5,-0.43903
186,CeSiI,-1.01279
187,CdCl2,-1.11527
188,AlSiTe3,-0.27184
189,LiBiO2,-1.6472
190,TlI3,-0.35459
191,K2Se5,-0.62949
192,Sr2MnSO3,-2.38985
193,PPdS,-0.44489
194,ThI2,-1.10546
195,GaS,-0.70648
196,ZrIN,-1.53101
197,FePSe3,-0.08541
198,AuCN,0.34585
199,TaTe4Ir,-0.34199
200,Ta2PdS6,-0.93217
201,AgCNO,0.417
202,Mg(ReO4)2,-1.98767
203,Fe(CO3)2,-1.22115
204,TaTe2,-0.34611
205,Ta(ICl)2,-0.93436
206,VBrO,-1.7335599999999998
207,PdS2,-0.31631
208,Sr3Fe2Cl2O5,-2.35522
209,ErClO,-3.24911
210,Tl2Sn(AsS3)2,-0.36405
211,SiP,-0.14881
212,BaCu,-0.12830999999999998
213,DySBr,-2.1160400000000004
214,Bi2Te4Pb,-0.28769
215,SbBrO,-1.12563
216,CrPO4,-1.99218
217,CaHBr,-1.46904
218,Mg3(HO2)2,-2.34471
219,PBr3,-0.34675
220,Te3As2,-0.0076900000000000015
221,Co(ClO4)2,0.05524
222,Y3I7O,-1.78885
223,MnPSe3,-0.20371
224,ScCl3,-2.20059
225,FePS3,-0.27897
226,InClO,-1.45602
227,Ba(BSe3)2,-0.58786
228,FeCl2,-0.73842
229,AgNO2,-0.16117
230,ZrCl2,-1.7619999999999998
231,CS2,0.24802
232,K4HgAs2,-0.46257
233,CrCl3,-1.15285
234,Ba2InBrO3,-2.39588
235,V2NiSe4,-0.5361
236,Nb2CS2,-0.93895
237,Pb2O3,-0.9887
238,RbMnP,-0.43446
239,FeCo3O8,-1.03167
240,Nb3TeCl7,-1.26008
241,LuTe3,-0.52522
242,CdBr2,-0.8845299999999999
243,FeBr2,-0.43331000000000003
244,SmBr3,-1.9692900000000002
245,Ta2Se,-0.44547
246,Sb2Te3,-0.1309
247,NbCoTe2,-0.34932
248,B2S2O9,-1.66988
249,SnSe,-0.4708
250,HfBrN,-1.83226
251,BPS4,-0.31169
252,Ge(BiTe2)2,-0.19462
253,Nb2CuS4,-0.5636899999999999
254,SbTe,-0.10682
255,CdPS3,-0.45061
256,K2As2Pd,-0.55569
257,Nb3TeI7,-0.56408
258,CdBiS2Cl,-0.71538
259,HgIBr,-0.23989
260,TmIO,-2.9176599999999997
261,ZrN2,-0.91892
262,AgClO2,0.18243
263,CrGeTe3,-0.12918
264,CBrN,0.50716
265,BCl3,-0.95171
266,NaZnP,-0.45915
267,TlInS2,-0.24991
268,Na2Pd3O4,-1.00522
269,PtSe2,-0.3796
270,Nb3I8,-0.55067
271,ScCl,-1.50034
272,TiBrO,-2.2738400000000003
273,AlBiBr6,-0.94691
274,IrBr3,-0.29524
275,NbO2,-2.31272
276,AlBr3,-1.13525
277,ZrSiTe,-0.79393
278,TeAuCl7,-0.44498
279,CrBrO,-1.48431
280,ThBrN,-2.12891
281,Sb2TeSe2,-0.19826
282,As2Se3,-0.10616
283,NdI2,-1.35451
284,ZrSiSe,-1.09399
285,PrTe3,-1.03084
286,AuI,-0.022969999999999997
287,TiCl3,-1.6630200000000002
288,W2N,0.39575
289,HoBiO3,-2.56636
290,FeI2,-0.0769
291,Sc2CCl2,-1.6823400000000002
292,Nb3GeTe6,-0.44627
293,TaSe2,-0.81374
294,HfSiTe,-0.6876800000000001
295,Ba4Sb2O,-1.6403400000000001
296,UI3,-0.88782
297,ThNCl,-2.30638
298,AgBiSCl2,-0.6681199999999999
299,PtCl2,-0.08562
300,MgBr2,-1.59558
301,Sr2Co(BrO)2,-2.11469
302,PrBrO,-2.97437
303,SrIF,-3.02678
304,AgPb4ClO4,-1.0934
305,ZrTiSe4,-1.2633299999999998
306,NdIO,-2.84381
307,TbGaI,-1.07868
308,SNCl,0.28152
309,ZnC2S2(OF)6,-1.43897
310,ThIN,-1.9281700000000002
311,RbBrF4,-1.65484
312,Mg(AlSe2)2,-1.04883
313,Re3Se4Cl,-0.45856
314,PCl3,-0.66559
315,TcS2,-0.7059
316,VSe2,-0.71026
317,USe3,-0.97012
318,Sr(ClO2)2,-0.9482299999999999
319,TeO2,-1.11542
320,PbF4,-1.9023
321,Sr2FeSO3,-2.22008
322,TiClO,-2.46178
323,YBrO,-3.1278200000000003
324,TiCo3O8,-1.44824
325,KSbS2,-0.8429399999999999
326,HfTe5,-0.42178000000000004
327,P4Se5,-0.01919
328,PI3,-0.03756
329,CoCl2,-0.56716
330,AlI3,-0.6785100000000001
331,SbCl5,-0.59178
332,NdGe2,-0.61779
333,As2O3,-1.26178
334,AsBr3,-0.43159
335,C3N4,0.29215
336,RhBr3,-0.45002
337,Ca(ClO2)2,-0.9444
338,TiSe,-0.8403799999999999
339,SnSe2,-0.33426
340,Bi2Pt,-0.20852
341,PbBrCl,-1.06807
342,UCO5,-2.41607
343,InCu(PSe3)2,-0.18533
344,PI2,-0.05037
345,TiBi2O5,-1.98723
346,VClO,-1.91675
347,HfSiSe,-0.9926
348,ScIO,-2.7133
349,ZnWO4,-2.0483
350,ZrS2,-1.68597
351,HfIN,-1.53912
352,CdSbS2Cl,-0.65584
353,HgCl2,-0.48945
354,HAuO2,-0.42267
355,Ge3Sb2O9,-1.61248
356,TbH2Br,-1.15651
357,SiH4,-0.0008300000000000001
358,TaS2,-1.1374799999999998
359,RhCl3,-0.66173
360,HgBr,-0.26713000000000003
361,HfFeCl6,-1.44129
362,TaCoTe2,-0.29702
363,HfS2,-1.70531
364,Hf3Te2,-0.5896399999999999
365,MnPS3,-0.39732
366,ZrSe2,-1.40137
367,Nb3Br8,-0.9759
368,Tl4SnS3,-0.41127
369,LuH2ClO2,-2.21786
370,PuBrO,-2.7840599999999998
371,CoTeO4,-0.84264
372,KMgSb,-0.67588
373,TlPt2Se3,-0.42721
374,BBr3,-0.48109
375,ZrCl,-1.35954
376,MnCl2,-1.06145
377,SrThBr6,-1.94949
378,NbS2,-0.8417399999999999
379,LuHCl,-1.45491
380,TlPd2Se3,-0.38275
381,Nb2SiTe4,-0.22615
382,DyCl3,-2.36916
383,HgPSe3,-0.03639
384,ScHCl,-1.44828
385,InSiTe3,-0.19404
386,CrClO,-1.6704599999999998
387,NaNO2,-0.95652
388,SbBr3,-0.59738
389,SrH2O3,-1.54303
390,Ge5(Te4As)2,-0.06234
391,Te4O9,-1.0532700000000002
392,CaMnSi,-0.35438000000000003
393,Ni2SbTe2,-0.24793
394,PbI2,-0.65927
395,LiBe,0.13415
396,BI3,-0.024990000000000002
397,ZnPS3,-0.45899
398,BiAsO4,-1.40777
399,YCl3,-2.36393
400,SiAs2,-0.0522
401,AsCl3,-0.69677
402,ZrTiTe4,-0.80493
403,Br2O,0.13009
404,SmH2ClO2,-2.18757
405,SN,0.51371
406,PtS2,-0.41533
407,Mg5(HO3)2,-2.54409
408,SnP7Au3,-0.09909
409,P2Se5,0.0111
410,CrI2,-0.25793
411,PrIO,-2.8284599999999998
412,Bi2Te2Se,-0.31132
413,FeCl3,-0.6853199999999999
414,SbSBr,-0.50675
415,CrAg(PS3)2,-0.382
416,BiSeI,-0.43535
417,NbCl4,-1.30806
418,RbBiO2,-1.5066899999999999
419,Bi2SeO5,-1.2506700000000002
420,NaMnP,-0.46121
421,Sr(BiO2)2,-1.87133
422,Tl2O,-0.6773399999999999
423,InBr3,-0.8297700000000001
424,Nb(PS4)2,-0.44428
425,TlTe3Pt2,-0.40416
426,KAuS,-0.84006
427,MoO3,-2.08618
428,HfTe3,-0.62441
429,TmAg(PSe3)2,-0.54342
430,TaTe5Pt,-0.32215
431,AsCl5,-0.39085
432,MoO2,-0.33751
433,SiTe2,0.09425
434,YbBr3,-1.42947
435,Ta2PdSe6,-0.6892199999999999
436,Ba(SnO2)4,-1.56968
437,CoBr2,-0.28479
438,FeO2,-1.2728
439,SrO2,-2.13869
440,Sb2S3,-0.33787
441,InSe,-0.5062300000000001
442,NiSe,-0.21919
443,P4S3,-0.14844000000000002
444,NbS2,-1.0308700000000002
445,KH2N,-0.402
446,Nb(SCl)2,-1.08553
447,LuSb2,-0.20395
448,Bi2TeI,-0.2578
449,CdBiSe2I,-0.48468
450,GaTeI7,-0.25238
